ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
???? ?????,Sidi Redouane,17903.0,0.0315346202184684,sidiredouane
???? ????,Sidi Jaber,17901.0,0.0315310948277229,sidijaber
???? ???? ?? ???,Sidi Ahmed Ou Amar,17898.0,0.0315258067416047,sidiahmedouamar
?????? ????????,Rissana Janoubia,17878.0,0.0314905528341497,rissanajanoubia
????,Massa,17854.0,0.0314482481452037,massa
??? ?????,Ait Ishaq,17841.0,0.031425333105358,aitishaq
?????,Issaguen,17832.0,0.0314094688470033,issaguen
?????,Agafay,17769.0,0.0312984190385201,agafay
???? ?????,KalÃ¢at M'gouna,17737.0,0.0312420127865922,kalaatmgouna
??????,Ikniouen,17707.0,0.0311891319254097,ikniouen
???? ???? ??????,Sidi Moussa Lhamri,17661.0,0.0311080479382633,sidimoussalhamri
????? ??????,Oulad Zbair,17558.0,0.0309264903148702,ouledzbair
??????,Laaounate,17485.0,0.0307978135526596,laaounate
????? ?????,Chorfa M'daghra,17483.0,0.0307942881619141,chorfamdaghra
??? ???????,Dar Chaffai,17408.0,0.030662086008958,darchaffai
??? ??????,Bab Marzouka,17322.0,0.0305104942069016,babmarzouka
??? ?????,Ait Iaaza,17289.0,0.0304523252596009,aitiaaza
???????,El Gantour,17270.0,0.0304188340475187,elgantour
???????,Douirane,17254.0,0.0303906309215547,douirane
????,Melaab,17229.0,0.030346563537236,melaab
?????,Anjra,17214.0,0.0303201231066448,anjra
???? ??????,Sidi Ettiji,17197.0,0.0302901572853081,sidiettiji
??? ????,Ksar Bjir,17182.0,0.0302637168547168,ksarbjir
??? ??????,Sid Zouine,17128.0,0.0301685313045884,sidzouine
???????,Lamjaara,17088.0,0.0300980234896785,lamjaara
??? ?????,Bni Tadjite,17087.0,0.0300962607943057,bnitadjite
???? ????? ?? ????,Sidi M'hamed Ben Lahcen,16980.0,0.0299076523894217,sidimhamedbenlahcen
??? ????,Ait Yaazem,16912.0,0.0297877891040748,aityaazem
???????,Boufakrane,16890.0,0.0297490098058743,boufakrane
???????,Tamazouzte,16885.0,0.0297401963290106,tamazouzte
??????,Zirara,16829.0,0.0296414853881367,zirara
??? ????,Bni Hilal,16765.0,0.0295286728842808,bnihilal
?? ?????,Khatazakane,16691.0,0.0293982334266974,khatazakane
?????,Ketama,16688.0,0.0293929453405791,ketama
??? ?????,Bni Mansour,16660.0,0.0293435898701422,bnimansour
??? ???????-???? ???????,Ain Johra-Sidi Boukhalkhal,16644.0,0.0293153867441782,ainjohrasidiboukhalkhal
???????,Mtalssa,16594.0,0.0292272519755408,mtalssa
????? ??????,Ksar Sghir,16559.0,0.0291655576374946,ksarsghir
????,Anzou,16554.0,0.0291567441606309,anzou
??? ????,Bni Rzine,16539.0,0.0291303037300396,bnirzine
???? ?????,Sidi Lamine,16501.0,0.0290633213058752,sidilamine
??????,Arekmane,16460.0,0.0289910507955925,arekmane
????? ?????,Ouled Salmane,16457.0,0.0289857627094743,ouledsalmane
???? ??????,Sidi El Makhfi,16441.0,0.0289575595835103,sidielmakhfi
??????,Tagleft,16410.0,0.0289029160269551,tagleft
???????,Rhouazi,16404.0,0.0288923398547186,rhouazi
??? ???????,Oued Jdida,16379.0,0.0288482724703999,ouedjdida
?????,Tabant,16377.0,0.0288447470796544,tabant
??????,Bouarouss,16329.0,0.0287601377017625,bouarouss
??? ??? ????????,Ras Ain Rhamna,16327.0,0.028756612311017,rasainrhamna
????,Mogress,16260.0,0.0286385117210428,mogress
??? ????,Bni Zoli,16240.0,0.0286032578135879,bnizoli
???????,Assahrij,16223.0,0.0285732919922511,assahrij
???? ??????,Sidi Boulkhalf,16220.0,0.0285680039061329,sidiboulkhalf
?? ????,Foum Oudi,16162.0,0.0284657675745135,foumoudi
??? ?????? ????,Souk Lakhmis Dades,16154.0,0.0284516660115315,souklakhmisdades
?????,Aghbal,16081.0,0.0283229892493209,aghbal
??????,Tahannaout,16017.0,0.028210176745465,tahannaout
??????,Aquermoud,15981.0,0.028146719712046,aquermoud
????????,Bouizakarne,15953.0,0.0280973642416091,bouizakarne
?????,Gourrama,15935.0,0.0280656357248996,gourrama
???????,Jbabra,15904.0,0.0280109921683444,jbabra
??? ?????,Bni Bouzra,15888.0,0.0279827890423804,bnibouzra
????? ?????,Oulad Abdoune,15860.0,0.0279334335719435,ouledabdoune
?????,Ahfir,15857.0,0.0279281454858252,ahfir
???????,Lamaachate,15826.0,0.02787350192927,lamaachate
????????,Tighassaline,15787.0,0.0278047568097329,tighassaline
?????,Lmechrek,15770.0,0.0277747909883961,lmechrek
??????,Bouguedra,15706.0,0.0276619784845402,bouguedra
????? ???,Oulad Dahou,15697.0,0.0276461142261855,ouleddahou
?????,Mellila,15690.0,0.0276337753585763,mellila
??????,Ternata,15670.0,0.0275985214511213,ternata
???????,Ihaddadene,15667.0,0.027593233365003,ihaddadene
????? ???? ???,Taghzoute N'ait Atta,15654.0,0.0275703183251573,taghzoutenaitatta
???????,Driouch,15653.0,0.0275685556297846,driouch
???? ????????,Skhour Rhamna,15557.0,0.0273993368740007,skhourrhamna
????,Sabbah,15551.0,0.0273887607017642,sabbah
???? ??? ????,Koudiat Bni Dghough,15512.0,0.027320015582227,koudiatbnidghough
??? ??? ????,Ain Bni Mathar,15487.0,0.0272759481979083,ainbnimathar
??????????,Al Bahraoyine,15457.0,0.0272230673367259,elbahraoyine
???? ??????,Majmaa Tolba,15446.0,0.0272036776876257,majmaatolba
???,Assa,15430.0,0.0271754745616617,assa
??? ????? ????? ???????,Ait Sedrate Sahl Charkia,15420.0,0.0271578476079342,aitsedratesahlcharkia
???? ?? ????,Kasbat Ben Mchich,15374.0,0.0270767636207878,kasbatbenmchich
??? ??????,Moul El Bergui,15355.0,0.0270432724087056,moulelbergui
?????,Midar,15348.0,0.0270309335410963,midar
??????,Bouchaouene,15239.0,0.0268387997454667,bouchaouene
????,Bitit,15238.0,0.026837037050094,bitit
????,Galaz,15196.0,0.0267630038444386,galaz
?????? ????,Nzalat Laadam,15195.0,0.0267612411490658,nzalatlaadam
???????,Timezgana,15184.0,0.0267418514999656,timezgana
??? ??????,Ait Saghrouchen,15140.0,0.0266642929035646,aitsaghrouchen
??? ??????,Ain Mediouna,15115.0,0.0266202255192459,ainmediouna
???? ??????,M'qam Tolba,15070.0,0.0265409042274723,mqamtolba
???????,Boulanouare,15043.0,0.0264933114524081,boulanouare
??? ???????,Guers Tiaallaline,15019.0,0.0264510067634621,guerstiaallaline
??????,Taoughilt,15013.0,0.0264404305912256,taoughilt
?? ?????,Ben Taieb,14999.0,0.0264157528560071,bentaieb
?????? ??? ??????,MÃ©chouar-FÃ¨s-El Jadid,14988.0,0.0263963632069069,machouarfaseljadid
??????,Ratba,14944.0,0.026318804610506,ratba
?????,Zemrane,14922.0,0.0262800253123055,zemrane
??? ?????,Ain Kansara,14910.0,0.0262588729678325,ainkansara
???? ?????,Sidi Dahmane,14878.0,0.0262024667159046,sididahmane
?????,Tidili,14817.0,0.0260949422981669,tidili
????????,Ezzhiliga,14788.0,0.0260438241323572,ezzhiliga
???????,Boulaouane,14740.0,0.0259592147544653,boulaouane
???????,Boujniba,14721.0,0.0259257235423831,boujniba
???????,Laajajra,14715.0,0.0259151473701466,laajajra
????,Majjat,14693.0,0.0258763680719461,majjat
??? ???,Bouya Omar,14686.0,0.0258640292043369,bouyaomar
??? ???? ????? ?????,Bni Oukil Oulad M'hand,14675.0,0.0258446395552367,bnioukilouledmhand
???????,Tinzouline,14650.0,0.0258005721709179,tinzouline
???????,Esbiaat,14644.0,0.0257899959986815,esbiaat
???????,Targuist,14628.0,0.0257617928727175,targuist
??????,Goulmima,14623.0,0.0257529793958537,goulmima
???????,Lakhoualqa,14618.0,0.02574416591899,lakhoualqa
??? ?????,Ait Imour,14598.0,0.025708912011535,aitimour
??????,Masmouda,14594.0,0.025701861230044,masmouda
????? ???????,Ouled Bourahmoune,14583.0,0.0256824715809438,ouledbourahmoune
?????,Tazart,14583.0,0.0256824715809438,tazart
??????,El Kbab,14572.0,0.0256630819318436,elkbab
???????,Laatamna,14561.0,0.0256436922827433,laatamna
???? ????,Sidi Azzouz,14484.0,0.0255079647390417,sidiazzouz
????? ????,Ouled Dlim,14463.0,0.025470948136214,ouleddlim
??????,Lamrija,14451.0,0.025449795791741,lamrija
?????,Zaida,14449.0,0.0254462704009955,zaida
???????,Tagounite,14413.0,0.0253828133675766,tagounite
????????,Khlalfa,14339.0,0.0252523739099932,khlalfa
???? ???? ??? ?????,Sidi Yahia Bni Zeroual,14282.0,0.0251519002737465,sidiyahiabnizeroual
???????,El Beddouza,14276.0,0.0251413241015101,elbeddouza
?????,Kridid,14259.0,0.0251113582801733,kridid
??? ????? ???????,Ras El Ain Chaouia,14243.0,0.0250831551542094,raselainchaouia
????? ????,Ouled Youssef,14233.0,0.0250655282004819,ouledyoussef
???? ???????,Sidi El Aidi,14163.0,0.0249421395243895,sidielaidi
????,Madagh,14150.0,0.0249192244845438,madagh
??? ????,Bni Oukil,14094.0,0.0248205135436698,bnioukil
????????,Ziaida,14092.0,0.0248169881529244,ziaida
???? ??? ??????,Sidi Abderrazak,14021.0,0.0246918367814592,sidiabderrazak
???? ?????,Kalaat Bouqorra,13999.0,0.0246530574832588,kalaatbouqorra
???????,Laagagcha,13997.0,0.0246495320925133,laagagcha
??? ????-??? ??????,Ain Karma-Oued Rommane,13985.0,0.0246283797480403,ainkarmaouedrommane
??? ?????,Bni Darkoul,13984.0,0.0246266170526675,bnidarkoul
??? ????,Bni Smih,13918.0,0.0245102791580661,bnismih
??????,Zmamra,13915.0,0.0245049910719479,zmamra
??? ??????,Ait Oumdis,13908.0,0.0244926522043387,aitoumdis
???????,Tazarine,13895.0,0.0244697371644929,tazarine
????? ??????,Toudgha Essoufla,13890.0,0.0244609236876292,toudghaessoufla
????,Igli,13831.0,0.024356924660637,igli
??? ???? ????,Ait Youssef Ou Ali,13811.0,0.0243216707531821,aityoussefouali
???????,El Ganzra,13785.0,0.0242758406734906,elganzra
??????,Tanougha,13773.0,0.0242546883290176,tanougha
??????,Bouchabel,13767.0,0.0242441121567811,bouchabel
??????,Amizmiz,13760.0,0.0242317732891719,amizmiz
???? ??? ??????,Sidi Abdelkrim,13759.0,0.0242300105937991,sidiabdelkrim
???? ???? ?? ????,Sidi Youssef Ben Ahmed,13748.0,0.0242106209446989,sidiyoussefbenahmed
???????,El Guerdane,13743.0,0.0242018074678352,elguerdane
??????,Labkhati,13730.0,0.0241788924279894,labkhati
???? ??????,Ighrem N'ougdal,13726.0,0.0241718416464984,ighremnougdal
????????,Bhalil,13717.0,0.0241559773881437,bhalil
???? ??? ??????,Sidi Ali Bel Quassem,13709.0,0.0241418758251617,sidialibelquassem
??????,Loulja,13679.0,0.0240889949639793,loulja
???? ??????,Tidili Fetouaka,13655.0,0.0240466902750333,tidilifetouaka
?????,Tabouda,13635.0,0.0240114363675783,tabouda
??? ??? ????,Ait Harz Allah,13604.0,0.0239567928110231,aitharzallah
???,Bzou,13602.0,0.0239532674202776,bzou
???????,Tendrara,13601.0,0.0239515047249049,tendrara
??? ?????,Souk L'qolla,13590.0,0.0239321150758047,souklqolla
????????,M'nabha,13561.0,0.023880996909995,mnabha
?????,Ifrane,13558.0,0.0238757088238767,ifrane
??? ???,Bni Quolla,13551.0,0.0238633699562675,bniquolla
??? ????,Ait Abbas,13541.0,0.02384574300254,aitabbas
????????,Mansoura,13526.0,0.0238193025719488,mansoura
????? ?? ?????,Ouled Ben Hammadi,13491.0,0.0237576082339026,ouledbenhammadi
???????,Zaitoune,13472.0,0.0237241170218204,zaitoune
????? ???? ??????,Zaouia Sidi Tahar,13461.0,0.0237047273727201,zaouiasiditahar
????? ???? ?????,Ouled Said Loued,13441.0,0.0236694734652652,ouledsaidloued
??????,Zghira,13415.0,0.0236236433855737,zghira
????? ?????,Oulad Ouchih,13408.0,0.0236113045179645,ouledouchih
????? ???? ?? ?????,Moulay Aissa Ben Driss,13398.0,0.023593677564237,moulayaissabendriss
???????,Ouaouizeght,13396.0,0.0235901521734915,ouaouizeght
??????,Aghbala,13372.0,0.0235478474845455,aghbala
??????,Tounfite,13370.0,0.0235443220938,tounfite
????? ????,Ouled Gnaou,13357.0,0.0235214070539543,ouledgnaou
??? ?????,Ras El Oued,13299.0,0.0234191707223349,raseloued
?????,Khalfia,13286.0,0.0233962556824892,khalfia
???????,Ourtzarh,13245.0,0.0233239851722065,ourtzarh
????? ????,Oulad Zarrad,13242.0,0.0233186970860882,ouledzarrad
???,Issen,13240.0,0.0233151716953427,issen
??????,Ounagha,13217.0,0.0232746297017695,ounagha
???????,Tafrant,13216.0,0.0232728670063968,tafrant
????????,Jaidate,13179.0,0.0232076472776051,jaidate
????? ??????,Oulad Sghir,13153.0,0.0231618171979136,ouledsghir
?????,Guettaya,13153.0,0.0231618171979136,guettaya
??? ?????,Bni Yagrine,13098.0,0.0230648689524125,bniyagrine
???? ????,Sidi Daoud,13088.0,0.023047241998685,sididaoud
???? ???? ?? ???,Sidi Moussa Ben Ali,12972.0,0.0228427693354462,sidimoussabenali
???? ?????,Sidi Hammadi,12970.0,0.0228392439447007,sidihammadi
?????? ????????,Rissana Chamalia,12961.0,0.0228233796863459,rissanachamalia
????? ???????,Tamda Noumercid,12959.0,0.0228198542956004,tamdanoumercid
??? ????,Ait Ayach,12932.0,0.0227722615205362,aitayach
??????,El Ouatia,12901.0,0.022717617963981,elouatia
????????,Hiadna,12863.0,0.0226506355398166,hiadna
???????,Tamsaout,12856.0,0.0226382966722074,tamsaout
??? ??????,Souk Tolba,12854.0,0.0226347712814619,souktolba
?????,Er-Rteb,12852.0,0.0226312458907164,errteb
????? ???? ????,Zaouiat Sidi Kacem,12851.0,0.0226294831953436,zaouiatsidikacem
?? ???????,Had Al Gharbia,12835.0,0.0226012800693796,hadelgharbia
????,Lahdar,12809.0,0.0225554499896882,lahdar
??? ??????,Bni Tsiriss,12794.0,0.022529009559097,bnitsiriss
??????,N'khila,12786.0,0.022514907996115,nkhila
??????,Ouaouzgane,12766.0,0.02247965408866,ouaouzgane
??????,Fdalate,12697.0,0.0223580281079404,fdalate
????? ??????,Ksar El Majaz,12642.0,0.0222610798624392,ksarelmajaz
???????,Souaken,12582.0,0.0221553181400743,souaken
??? ??????,Ain Jemaa,12579.0,0.0221500300539561,ainjemaa
???? ?????,Tizi N'isly,12547.0,0.0220936238020281,tizinisly
????? ?????,Moulay Bouchta,12530.0,0.0220636579806914,moulaybouchta
??????,Boudnib,12514.0,0.0220354548547274,boudnib
???????,Reggada,12510.0,0.0220284040732364,reggada
???? ???????,Sidi Bou Othmane,12482.0,0.0219790486027995,sidibouothmane
??????,Ouisselsate,12471.0,0.0219596589536992,ouisselsate
?????,Telouet,12395.0,0.0218256941053704,telouet
??? ????,Bni Hassane,12390.0,0.0218168806285066,bnihassane
????????,Iguerferouane,12365.0,0.0217728132441879,iguerferouane
??? ?????,Ain Bou Ali,12354.0,0.0217534235950877,ainbouali
?????,Tizgane,12287.0,0.0216353230051135,tizgane
???????,Choara,12249.0,0.0215683405809491,choara
?????,Tamedit,12244.0,0.0215595271040854,tamedit
???? ?????,Machraa El Ain,12232.0,0.0215383747596124,machraaelain
?????,Tizguite,12200.0,0.0214819685076844,tizguite
??????,Temsamane,12194.0,0.0214713923354479,temsamane
????? ??????,Gheris El Ouloui,12192.0,0.0214678669447024,gheriselouloui
????????,Labrikiyne,12185.0,0.0214555280770932,labrikiyne
????,Guisser,12185.0,0.0214555280770932,guisser
???? ??? ???? ??????,Sidi Abdellah Al Khayat,12158.0,0.021407935302029,sidiabdellahelkhayat
????? ?????,Oulad Hamdane,12130.0,0.021358579831592,ouledhamdane
?????,Ouannana,12123.0,0.0213462409639828,ouannana
????,Tissa,12095.0,0.0212968854935458,tissa
????? ????,Oulad Fares,12093.0,0.0212933601028003,ouledfares
??? ????,Bni Khloug,12092.0,0.0212915974074276,bnikhloug
??? ?????,Ras Laksar,12085.0,0.0212792585398184,raslaksar
??? ????,Oued Malha,12075.0,0.0212616315860909,ouedmalha
?????? ????,Boumalne-Dades,12074.0,0.0212598688907181,boumalnedades
????? ?????,Oulad Amrane,12058.0,0.0212316657647542,ouledamrane
???????,Laghoualem,12051.0,0.0212193268971449,laghoualem
??????,Ouaklim,12050.0,0.0212175642017722,ouaklim
???? ???,Dayat-Aoua,12048.0,0.0212140388110267,dayataoua
???????,Laamamra,12023.0,0.021169971426708,laamamra
??? ??????,Ait Bou Oulli,11992.0,0.0211153278701528,aitbououlli
????Â ??????,MÃ©chouar-Kasba,11986.0,0.0211047516979163,machouarkasba
??? ????????,Sebt Loudaya,11981.0,0.0210959382210525,sebtloudaya
????? ?????,Agoudi N'lkhair,11963.0,0.0210642097043431,agoudinlkhair
??????,Iznaguen,11953.0,0.0210465827506156,iznaguen
??? ?? ????,Dar Si Aissa,11949.0,0.0210395319691246,darsiaissa
??? ????? ???????,Bni M'hamed-Sijelmassa,11925.0,0.0209972272801786,bnimhamedsijelmassa
??????,Lamhadi,11910.0,0.0209707868495874,lamhadi
???????,Al Hamra,11877.0,0.0209126179022867,elhamra
????? ??????,Ferkla Es-Soufla,11875.0,0.0209090925115412,ferklaessoufla
?????,Jorf,11864.0,0.020889702862441,jorf
???? ????,Jamaat Shaim,11860.0,0.02088265208095,jamaatshaim
??? ??????,Bir Taleb,11843.0,0.0208526862596133,birtaleb
???????,Toualet,11822.0,0.0208156696567855,toualet
?????,Kissane,11763.0,0.0207116706297934,kissane
??? ????,Ait Ouallal,11751.0,0.0206905182853204,aitouallal
????? ????,Zaouiat Saiss,11730.0,0.0206535016824927,zaouiatsaiss
????? ????,Oulad Aissa,11730.0,0.0206535016824927,ouledaissa
??????? ???????,Zaouia Annahlia,11722.0,0.0206394001195107,zaouiaannahlia
????,H'ssyia,11713.0,0.020623535861156,hssyia
?????,Azghar,11707.0,0.0206129596889195,azghar
???? ???? ??????,Sidi Ameur Al Hadi,11703.0,0.0206059089074285,sidiameurelhadi
????,Tilmi,11691.0,0.0205847565629555,tilmi
?????,Teroual,11673.0,0.020553028046246,teroual
??????,Matmata,11665.0,0.020538926483264,matmata
??????,Lamhara,11620.0,0.0204596051914904,lamhara
?????,Tamanar,11616.0,0.0204525544099994,tamanar
?????,Tissaf,11615.0,0.0204507917146266,tissaf
???????,Tilougguite,11591.0,0.0204084870256807,tilougguite
????? ????,Oulad Nouel,11578.0,0.0203855719858349,oulednouel
?????,Ahlaf,11575.0,0.0203802838997167,ahlaf
??????,Timahdite,11570.0,0.0203714704228529,timahdite
??????,Bouadel,11564.0,0.0203608942506165,bouadel
???? ????,Sidi Aayad,11561.0,0.0203556061644982,sidiaayad
?????,Dzouz,11526.0,0.020293911826452,dzouz
???????,Louadaine,11523.0,0.0202886237403338,louadaine
????????,Jbilate,11511.0,0.0202674713958608,jbilate
????????,Brachoua,11505.0,0.0202568952236243,brachoua
????? ??????,Zaouiat Lakouacem,11490.0,0.0202304547930331,zaouiatlakouacem
????,Asjen,11479.0,0.0202110651439328,asjen
????,Mayate,11443.0,0.0201476081105139,mayate
????? ??????,Oulad Freiha,11406.0,0.0200823883817222,ouledfreiha
???????,Touama,11401.0,0.0200735749048585,touama
??????,El Menzel,11398.0,0.0200682868187402,elmenzel
??? ??,Oued Laou,11388.0,0.0200506598650127,ouedlaou
??????,Tansifte,11362.0,0.0200048297853213,tansifte
???????,Trougout,11346.0,0.0199766266593573,trougout
????? ???????,Moulay Brahim,11328.0,0.0199448981426478,moulaybrahim
??? ????,Bni Garfett,11310.0,0.0199131696259384,bnigarfett
????????,Derdara,11276.0,0.0198532379832649,derdara
????,Charrate,11262.0,0.0198285602480464,charrate
????? ??????,Zaouiat Ahansal,11255.0,0.0198162213804372,zaouiatahansal
????????,Chouihia,11249.0,0.0198056452082007,chouihia
???? ??????,Sidi El Abed,11240.0,0.019789780949846,sidielabed
???? ?? ????,Kariat Ben Aouda,11238.0,0.0197862555591005,kariatbenaouda
???????,Iaazzanene,11186.0,0.0196945953997176,iaazzanene
????,Agdz,11180.0,0.0196840192274811,agdz
?????,Ahdil,11130.0,0.0195958844588437,ahdil
??? ????,Ait Hani,11120.0,0.0195782575051162,aithani
?????,Imlil,11118.0,0.0195747321143707,imlil
???????,Rommani,11114.0,0.0195676813328797,rommani
??? ????,Sebt Saiss,11051.0,0.0194566315243965,sebtsaiss
????,Mniaa,11048.0,0.0194513434382783,mniaa
???? ????? ?????,Sidi M'hamed Akhdim,11038.0,0.0194337164845508,sidimhamedakhdim
??? ???????,Ain Bida,11018.0,0.0193984625770958,ainbida
??????? ???????,Igoudar Mnabha,10956.0,0.0192891754639854,igoudarmnabha
??????,Tamezmoute,10950.0,0.019278599291749,tamezmoute
??? ??????,M'zem Sanhaja,10945.0,0.0192697858148852,mzemsanhaja
??? ????,Bni Drar,10906.0,0.019201040695348,bnidrar
????,Tifni,10906.0,0.019201040695348,tifni
??????,Steha,10896.0,0.0191834137416205,steha
??? ?????,Ouad Amlil,10896.0,0.0191834137416205,ouadamlil
????? ???,Oulad Abbou,10894.0,0.019179888350875,ouledabbou
????????,Imindounit,10890.0,0.019172837569384,imindounit
?????,Al Oued,10875.0,0.0191463971387928,eloued
?????????,Mallalienne,10874.0,0.0191446344434201,mallalienne
?????,Tanant,10872.0,0.0191411090526746,tanant
???????,Lounasda,10866.0,0.0191305328804381,lounasda
????????,El Gouraani,10859.0,0.0191181940128288,elgouraani
???????,Lahsasna,10854.0,0.0191093805359651,lahsasna
????????,Maaziz,10812.0,0.0190353473303097,maaziz
??? ???? ???????,Bni Ahmed Cherqia,10800.0,0.0190141949858367,bniahmedcherqia
????? ????,Oulad Daoud,10800.0,0.0190141949858367,ouleddaoud
??? ???,Bni Lent,10798.0,0.0190106695950912,bnilent
?????,Ouargui,10786.0,0.0189895172506182,ouargui
???? ?????,Sidi Borja,10736.0,0.0189013824819808,sidiborja
?????,Jaqma,10733.0,0.0188960943958626,jaqma
??????,Fraita,10721.0,0.0188749420513896,fraita
????????,Lakhnafif,10706.0,0.0188485016207983,lakhnafif
??????,Bouanane,10701.0,0.0188396881439346,bouanane
????????,Jaafra,10689.0,0.0188185357994616,jaafra
????? ???? ??????,Oulad Yahia Lagraire,10686.0,0.0188132477133434,ouledyahialagraire
?????,Gmassa,10674.0,0.0187920953688704,gmassa
??? ?????,Ahl Oued Za,10672.0,0.0187885699781249,ahlouedza
?????? ???????,Aghbalou-N'kerdous,10672.0,0.0187885699781249,aghbalounkerdous
?????,Marchouch,10663.0,0.0187727057197702,marchouch
??? ???? ???????,Bni Ahmed Gharbia,10623.0,0.0187021979048602,bniahmedgharbia
???? ??????,Sidi Lyamani,10615.0,0.0186880963418782,sidilyamani
???? ??????,Sidi Laaroussi,10604.0,0.018668706692778,sidilaaroussi
??? ????,Ain Legdah,10597.0,0.0186563678251688,ainlegdah
?????,Jbiel,10593.0,0.0186493170436778,jbiel
???????,El Argoub,10558.0,0.0185876227056316,elargoub
?????,El Faid,10553.0,0.0185788092287678,elfaid
??? ????,Bni Salah,10535.0,0.0185470807120584,bnisalah
??? ????,Ait Zineb,10529.0,0.0185365045398219,aitzineb
?????,Itzer,10513.0,0.0185083014138579,itzer
???? ???? ?? ????,Sidi Mohammed Ben Rahal,10511.0,0.0185047760231124,sidimohammedbenrahal
???????,Laqraqra,10492.0,0.0184712848110302,laqraqra
?????,Abadou,10482.0,0.0184536578573027,abadou
???????-?????,Ksabi-Moulouya,10471.0,0.0184342682082025,ksabimoulouya
??? ????,Bni Said,10465.0,0.018423692035966,bnisaid
??? ????,Bni Mathar,10463.0,0.0184201666452205,bnimathar
????,Chahda,10449.0,0.018395488910002,chahda
??????,Lamsabih,10443.0,0.0183849127377655,lamsabih
???? ????? ???????,Moha Ou Hammou Zayani,10443.0,0.0183849127377655,mohaouhammouzayani
????????,Saidia,10440.0,0.0183796246516473,saidia
??? ??????,Ain Sbit,10425.0,0.0183531842210561,ainsbit
??? ?????,Bni Chegdale,10413.0,0.0183320318765831,bnichegdale
??????,Tainaste,10407.0,0.0183214557043466,tainaste
??????,Atouabet,10378.0,0.0182703375385369,atouabet
??? ????,Ait Igas,10378.0,0.0182703375385369,aitigas
?????,Selfat,10366.0,0.0182491851940639,selfat
??? ?????,Ain Beida,10359.0,0.0182368463264547,ainbeida
?????,M'tioua,10325.0,0.0181769146837812,mtioua
????? ???? ??????,Ifrane Atlas Saghir,10315.0,0.0181592877300537,ifraneatlassaghir
??? ?????,Imi-Mqourn,10312.0,0.0181539996439355,imimqourn
???????,Chbanate,10303.0,0.0181381353855808,chbanate
??????,Aghbalou,10294.0,0.018122271127226,aghbalou
????? ??? ?????,Fennassa Bab El Hit,10285.0,0.0181064068688713,fennassababelhit
???????,Jouala,10280.0,0.0180975933920075,jouala
??? ?????,Oued Ifrane,10266.0,0.0180729156567891,ouedifrane
???? ????,Sidi Rahal,10258.0,0.0180588140938071,sidirahal
??????,Taounza,10254.0,0.0180517633123161,taounza
