commune,societe,nb_atm,commune_norm
Aarab Sebbah Ziz,Inconnue,2,aarabsebbahziz
Agadir,Inconnue,13,agadir
Agadir,Banque Populaire,2,agadir
Agadir,CIH Bank,1,agadir
Agdal,Inconnue,1,agdal
Agdal Riyad,Inconnue,4,agdalriyad
Agdal Riyad,BMCI,1,agdalriyad
Agdal Riyad,Bank of Africa (BMCE),1,agdalriyad
Agdal Riyad,CIH Bank,1,agdalriyad
Agdal Riyad,Crédit du Maroc,1,agdalriyad
Agdal Riyad,Crédit du Maroc ???? ??????,1,agdalriyad
Agdal Riyad,Société générale Maroc ?????? ??????,1,agdalriyad
Agdal Riyad,????? ??????,1,agdalriyad
Agdal Riyad,??????? ??? ???,1,agdalriyad
Agdal Riyad,??????? ?????,1,agdalriyad
Ain Leuh,Bank Al-Maghrib ??? ??????,1,ainleuh
Ait Amira,Inconnue,1,aitamira
Ait Baha,Inconnue,1,aitbaha
Ait Youssef Ou Ali,Banque Populaire,1,aityoussefouali
Ait Zineb,Inconnue,1,aitzineb
Al Machoua-Stinia,Banque populaire,1,elmachouastinia
Al-Fida,??????? ?????,1,elfida
Alnif,Banque Populaire,1,alnif
Alnif,Inconnue,1,alnif
Anfa,Inconnue,7,anfa
Anfa,Attijariwafa Bank,1,anfa
Anfa,BMCE Bank,1,anfa
Anfa,BMCI,1,anfa
Anfa,Crédit du Maroc ???? ??????,1,anfa
Aourir,Inconnue,4,aourir
Arfoud,Inconnue,1,arfoud
Asni,Inconnue,1,asni
Assa,Inconnue,1,assa
Assilah,Inconnue,4,assilah
Assoukhour Assawda,Inconnue,2,assoukhourassawda
Azemmour,Inconnue,3,azemmour
Azilal,Inconnue,2,azilal
Azrou,Inconnue,1,azrou
Aîn-Chock,Inconnue,2,ainchock
Aîn-Chock,Attijariwafa Bank,1,ainchock
Bab Lamrissa,Attijariwafa Bank,1,bablamrissa
Bab Lamrissa,????? ??????? ??????? ????????,1,bablamrissa
Bab Lamrissa,??????? ??? ???,1,bablamrissa
Berkane,Inconnue,1,berkane
Bettana,Inconnue,1,bettana
Boulemane,Inconnue,4,boulemane
Boumalne Dades,Crédit Agricole,1,boumalnedades
Boumalne Dades,Inconnue,1,boumalnedades
Bouznika,Crédit Agricole,1,bouznika
Charf-Mghogha,Inconnue,1,charfmghogha
Chefchaouen,BP,1,chefchaouen
Chefchaouen,Bank of Africa (BMCE),1,chefchaouen
Chefchaouen,Crédit Agricole,1,chefchaouen
Chefchaouen,Inconnue,1,chefchaouen
Dar Bouazza,Inconnue,2,darbouazza
Dcheira El Jihadia,Inconnue,1,dcheiraeljihadia
Demnate,Inconnue,2,demnate
Ech-challalate,Inconnue,1,echchallalate
El Borouj,Inconnue,1,elborouj
El Jadida,Inconnue,2,eljadida
El Jadida,Attijariwafa Bank,1,eljadida
El Jadida,BMCE Bank,1,eljadida
El Jadida,CIH Bank,1,eljadida
El Kelaâ des Sraghna,Inconnue,2,elkelaadessraghna
El Maarif,Inconnue,4,elmaarif
El Maarif,CFG Bank,1,elmaarif
El Mansouria,Inconnue,1,elmansouria
Er-rich,Inconnue,1,errich
Errachidia,Inconnue,1,errachidia
Essaouira,Inconnue,7,essaouira
Essaouira,Al Barid Bank,1,essaouira
Essaouira,Attijariwafa Bank,1,essaouira
Essaouira,BMCI,1,essaouira
Essaouira,Société Générale,1,essaouira
Et-taous,Inconnue,1,ettaous
Fnideq,Inconnue,1,fnideq
Fès-Médina,Inconnue,6,fesmedina
Fès-Médina,BP,1,fesmedina
Fès-Médina,Barid Al Maghrib,1,fesmedina
Goulmima,Crédit Agricole,1,goulmima
Gueliz,Inconnue,6,gueliz
Gueliz,Attijariwafa Bank,1,gueliz
Gueliz,????? ??????? ??????? ????????,1,gueliz
Guelmim,Inconnue,1,guelmim
Gueznaia,Wafacash,1,gueznaia
Hassan,Inconnue,11,hassan
Hassan,Crédit Agricole,2,hassan
Hassan,Al Barid Bank,1,hassan
Hassan,Attijariwafa Bank,1,hassan
Hassan,Crédit agricole du Maroc ????? ???????,1,hassan
Hassan,Société Générale Maroc,1,hassan
Hay Mohammadi,Inconnue,1,haymohammadi
Hay-Hassani,Inconnue,6,hayhassani
Hay-Hassani,Attijariwafa Bank,1,hayhassani
Hay-Hassani,Banque Populaire ????? ??????,1,hayhassani
Hay-Hassani,CIH Bank,1,hayhassani
Ifrane,Inconnue,4,ifrane
Ifrane Atlas Saghir,Inconnue,1,ifraneatlassaghir
Ighrem N'Ougdal,Inconnue,1,ighremnougdal
Jnan El Ouard,Inconnue,1,jnanelouard
Kalaat M'Gouna,Inconnue,1,kalaatmgouna
Ksar El Majaz,Inconnue,3,ksarelmajaz
Kénitra,CIH Bank,1,kenitra
Kénitra,Inconnue,1,kenitra
Lamaachate,Inconnue,1,lamaachate
Larache,Inconnue,2,larache
Loualidia,Inconnue,1,loualidia
M'Hamid El Ghizlane,Inconnue,2,mhamidelghizlane
Marrakech-Médina,Inconnue,13,marrakechmedina
Marrakech-Médina,Attijariwafa Bank,2,marrakechmedina
Marrakech-Médina,Banque Populaire,2,marrakechmedina
Marrakech-Médina,CIH Bank,2,marrakechmedina
Marrakech-Médina,????? ??????,1,marrakechmedina
Martil,Bank Al-Maghrib ??? ??????,1,martil
Mehdya,CIH Bank,1,mehdya
Meknès,Inconnue,2,meknes
Meknès,Société générale Maroc ?????? ??????,2,meknes
Meknès,Attijariwafa Bank,1,meknes
Meknès,BMCI,1,meknes
Melilia,Inconnue,1,melilia
Mers-Sultan,BMCE Bank,1,merssultan
Midelt,Banque Populaire,1,midelt
Midelt,Crédit Agricole,1,midelt
Mikkes,Inconnue,1,mikkes
Mirleft,Inconnue,2,mirleft
Moulay Ali Cherif,Inconnue,1,moulayalicherif
Moulay Bousselham,CIH Bank,1,moulaybousselham
Moulay Driss Zerhoun,Banque Populaire,1,moulaydrisszerhoun
Moulay Driss Zerhoun,Inconnue,1,moulaydrisszerhoun
Méchouar-Fès Jdid,Attijariwafa Bank,1,mechouarfesjdid
Méchouar-Fès Jdid,Inconnue,1,mechouarfesjdid
Méchouar-Kasba,Inconnue,4,mechouarkasba
Ménara,Inconnue,3,menara
Nador,Umnia Bank ????? ???,1,nador
Nouaceur,Inconnue,1,nouaceur
Oujda,Inconnue,3,oujda
Oulad Teima,Inconnue,4,ouledteima
Ounagha,Crédit Agricole,1,ounagha
Safi,CIH Bank,1,safi
Saidia,Bank Al-Maghrib ??? ??????,1,saidia
Saiss,Inconnue,1,saiss
Sebt Gzoula,Crédit Agricole,1,sebtgzoula
Sebta,Caixabank,4,sebta
Sebta,Inconnue,2,sebta
Sebta,BBVA,1,sebta
Sebta,Banco Sabadell,1,sebta
Sebta,Banco Santander,1,sebta
Sebta,Unicaja Banco,1,sebta
Sidi Belyout,Inconnue,10,sidibelyout
Sidi Belyout,Société générale Maroc ?????? ??????,2,sidibelyout
Sidi Belyout,Western Union,2,sidibelyout
Sidi Belyout,Banque Populaire,1,sidibelyout
Sidi Belyout,????? ??????? ??????? ????????,1,sidibelyout
Sidi Bennour,Inconnue,1,sidibennour
Sidi Bernoussi,Inconnue,2,sidibernoussi
Sidi El Makhfi,Inconnue,1,sidielmakhfi
Sidi Ifni,Al Barid Bank,1,sidiifni
Sidi Moumen,Inconnue,1,sidimoumen
Sidi Slimane,Attijariwafa Bank,2,sidislimane
Skhirate,Inconnue,1,skhirate
Skoura Ahl El Oust,Inconnue,1,skouraahleloust
Tabriquet,Crédit Agricole,2,tabriquet
Tabriquet,??????? ?????,2,tabriquet
Tabriquet,Al Barid Bank,1,tabriquet
Tabriquet,BMCE Bank,1,tabriquet
Tabriquet,CIH Bank,1,tabriquet
Tabriquet,Inconnue,1,tabriquet
Tabriquet,????? ??????,1,tabriquet
Tabriquet,??????? ??? ???,1,tabriquet
Tabriquet,????? ??????? ????????,1,tabriquet
Tafraout,Inconnue,2,tafraout
Tafraout,Banque populaire,1,tafraout
Tahannaout,Crédit Agricole,1,tahannaout
Tanant,Inconnue,1,tanant
Tanger-Médina,Inconnue,6,tangermedina
Tanger-Médina,????? ??????,1,tangermedina
Taroudannt,Inconnue,1,taroudannt
Tata,Inconnue,2,tata
Taza,CIH Bank,1,taza
Taza,Inconnue,1,taza
Tazarine,Inconnue,1,tazarine
Tinghir,Inconnue,5,tinghir
Témara,Inconnue,1,temara
Tétouan,Inconnue,2,tetouan
Tétouan,Attijariwafa,1,tetouan
Tétouan,Bmce,1,tetouan
Tétouan,Société Générale,1,tetouan
Yacoub El Mansour,Inconnue,2,yacoubelmansour
Zagora,Inconnue,2,zagora
