Libelle Arabe	commune	taux_jeunesse
??? ????	Abbou Lakhal	39.6
????	H'ssyia	39.2
??? ??????	Ait Boudaoud	37.7
??????	Taghbalte	37.7
????	Tichla	37.4
??????	Bleida	37
??????	Maatarka	36.9
??? ????	Ait Abbas	36.8
??????	Bouchaouene	36.7
??? ??????	Ait El Farsi	36.4
??? ????	Ait Ouallal	36.1
???????	Lounasda	36
??????	Fezouata	36
????? ?????	Oulad El Garne	35.9
??????	Ternata	35.9
??????	Ouaklim	35.7
??? ?????	Lalla Aaziza	35.5
???????	Bouzeroual	35.4
??????	Errouha	35.4
????? ?????	Oulad Chbana	35.3
?????	Anergui	35.2
???? ??????	Ighil N'oumgoun	35.2
??????	Ikniouen	35.2
???? ????	Sidi Chiker	35.1
???? ??? ???? ??????	Sidi Abdellah Al Khayat	35
???????	Ben Mansour	34.9
??? ?????	Bni Yagrine	34.9
???????	Haddada	34.8
???? ???????	Ameur Seflia	34.7
????????	Laouamra	34.6
???? ????? ?????	Sidi Boubker El Haj	34.6
??? ?????	Ras El Ain	34.5
????????	Imindounit	34.5
???????	Taftechna	34.5
????	Mikkes	34.4
?????	Messassa	34.4
????? ????	Jnane Bouih	34.3
??? ?????	Hjar Ennhal	34.3
???? ???? ???????	Sidi Mohamed Benmansour	34.3
???? ??????	Sidi El Hattab	34.3
????????	Kceibya	34.3
????? ??????	Zaouiat Ahansal	34.3
??? ????	Ait Hani	34.3
???????	Tazarine	34.3
???? ???? ????	Sidi Mohamed Lahmar	34.2
????? ????	Oulad Aamer	34.2
??????	Tabaroucht	34.2
???? ??????	Sidi Boulkhalf	34.2
??? ????	Bni Zoli	34.2
???? ????????	Ameur Chamalia	34.1
?????? ????	Nzalat Laadam	34.1
??? ??? ????	Ait Haddou Youssef	34.1
????????	Hiadna	34
??? ?????	Ait Blal	34
????? ????? ?????	Oulad Bouali Loued	33.9
??? ?????	Bni Mansour	33.9
????	Tilmi	33.9
??? ????	Bni Salah	33.8
??? ??????	Bni Bouchibet	33.8
????? ?????	Ouled Ghziyel	33.8
????? ???? ???	Taghzoute N'ait Atta	33.8
?????	M'ssici	33.8
????? ????? ????	Bahhara Ouled Ayad	33.7
???????	Lakhoualqa	33.7
??? ????	Bni Smih	33.7
???? ????? ?? ????	Sidi M'hamed Ben Lahcen	33.7
???	Guir	33.7
?????? ??????	Bouabout Amdlane	33.7
???????	Irohalen	33.7
??? ?????	Ait M'hamed	33.7
?????	Tissaf	33.6
??? ???	Bni Guil	33.6
???????	Laaouama	33.5
???????	Chtaiba	33.5
????????	El Bsabsa	33.5
??? ?????	Bni Ammart	33.5
???????	Tamegroute	33.5
????????	Er-Rissani	33.5
??????	Mograne	33.4
??????	Es-Sifa	33.4
??????	Jabria	33.3
????????	Jaafra	33.3
????? ??????	Oulad Cherki	33.3
???????	En-Nzala	33.3
??????	El Atef	33.3
?????	Mrija	33.3
????? ????	Oulad Khallouf	33.3
??? ??????	M'zem Sanhaja	33.2
??????	Boumerieme	33.2
??????? ???????	Zaouia Annahlia	33.2
?????	Azrar	33.2
????	Melaab	33.2
???? ???? ?????	Aarab Sebbah Gheris	33.2
?????	Zouada	33.1
????? ??????	Skoura Lhadra	33.1
???? ????	Sidi Aayad	33.1
????? ????	Louad Lakhdar	33.1
??? ????	Ait Aadel	33.1
??? ????? ????? ???????	Ait Sedrate Sahl El-Gharbia	33.1
?????	Alnif	33.1
????? ?????	Oulad Ouchih	33
??? ?????	Bni Bchir	33
????????	Taouloukoult	33
???? ????	Afalla Issen	33
??????	N'kob	33
????? ?????	Ouled Hcine	32.9
????	Jdour	32.9
???????	Chouafaa	32.9
???????	Tilougguite	32.9
????????	Imilmaiss	32.9
?????	Toubkal	32.9
?????	Imider	32.9
?????	Lamharra	32.8
???? ???? ?????	Sidi Yahia Ou Youssef	32.8
??????	Gteter	32.8
?????	Harbil	32.8
???? ???? ?? ??????	Sidi Aissa Ben Slimane	32.8
???????	Tinzouline	32.8
?????? ???????	Aghbalou-N'kerdous	32.8
????	Mogress	32.7
?????	Kridid	32.7
??? ????????	Dar Laaslouji	32.7
????? ??????	Oulad Freiha	32.7
????? ???? ????	Tiffert N'ait Hamza	32.7
??????	Ouaouzgane	32.7
????	Saka	32.7
??? ????????	Sebt Loudaya	32.7
???????	Laajajra	32.7
?????	Akarma	32.7
????????	Afella N'dra	32.7
???????	M'semrir	32.7
???? ??????	Oued Naam	32.7
??????	Tagleft	32.6
???? ??????	Sidi Bouzineb	32.6
?????	Ighoud	32.6
?????	Ahdil	32.6
??? ????? ????? ???????	Ait Sedrate Sahl Charkia	32.6
????? ???? ??????	Oulad Yahia Lagraire	32.6
???? ???	Sidi Ali	32.6
?????? ????????	Rissana Janoubia	32.5
????? ???????	Moulay Bousselham	32.5
????????	Sfafaa	32.5
??????	Eddachra	32.5
??? ???????	Dar Bel Amri	32.5
??? ???	Bni Idder	32.5
??? ??????	Ait Oumdis	32.5
?????	Ouaoula	32.5
??????	Tamezmoute	32.5
?????? ????????	Rissana Chamalia	32.4
???????	Rmilat	32.4
???????	Boutferda	32.4
????????	Mkansa	32.4
??? ???????	Ain Tazitounte	32.4
?????	Dzouz	32.4
????? ????	Ouled Ghanem	32.3
???? ??? ????	Koudiat Bni Dghough	32.3
??????	Jouamaa	32.3
???? ???? ??? ????	Sidi Hajjaj Oued Hassar	32.3
????? ?????	Oulad Massaoud	32.3
????	Ameur	32.3
???? ???????	Sidi Boulaalam	32.3
???????	Atiamim	32.2
??????	Arbaoua	32.2
???? ???? ??????	Sidi Allal Tazi	32.2
????? ????	Oulad Sbih	32.2
????? ?????	Oulad Msabbel	32.2
???? ????	Sidi Moussa	32.2
??????	Taouzint	32.2
????? ?????	Oulad Yaacoub	32.2
??? ???? ???????	Bni Ahmed Imoukzan	32.2
??? ????	Ait Yahya	32.2
????????	Fritissa	32.2
????? ????	Oulad Aarrad	32.2
??? ???? ???	Aarab Sebbah Ziz	32.2
?????	Ktaoua	32.2
???????	Lamrasla	32.1
???????	Gueznaia	32.1
???????	Souaken	32.1
????	Mayate	32.1
????????	Errafiaya	32.1
?????	Issaguen	32.1
?????	Selfat	32.1
?????	Gourrama	32.1
??????	Bouanane	32.1
????	Isly	32.1
?????	Zag	32.1
??? ??????	Ait Bou Oulli	32.1
????	Agdz	32.1
??? ???????	Sebt Azzinate	32
????? ????	Oulad Zarrad	32
???? ????	Sidi Daoud	32
??? ?????	Ain Chkef	32
??????	Bou-Azmou	32
???????	Douirane	32
???????	Labouirat	32
???? ?????	Kalâat M'gouna	32
?????	Malloussa	31.9
????????	Mnasra	31.9
??? ????	Ksar Bjir	31.9
???? ????	Sidi Hajjaj	31.9
??? ???????	Dar Chaffai	31.9
???????	El Marbouh	31.9
??????	Imilchil	31.9
????? ???? ??? ??????	Zaouiat Sidi Abdelkader	31.9
????? ?????	Oulad Mimoun	31.9
???????	Assahrij	31.9
????? ????	Oulad Aissa	31.8
??? ??????	Lalla Mimouna	31.8
??? ????	Beni Malek	31.8
?????	Sefsaf	31.8
???????	Toualet	31.8
??????	Znada	31.8
??????	Bouhouda	31.8
??? ???????	Guers Tiaallaline	31.8
????? ?????	Ouled M'hamed	31.8
??? ?????	Ait Daoud	31.8
??????	Timlilt	31.8
??? ?????	Ait Ouassif	31.8
????? ?????	Chorfa M'daghra	31.8
??????	El Ouatia	31.7
??????????	Al Bahraoyine	31.7
????? ????	Ouled Youssef	31.7
????? ???? ??????	Moulay Ahmed Cherif	31.7
????	Zarkt	31.7
??? ?????	Ain Aicha	31.7
?????	Kouzemt	31.7
???????	Lamzoudia	31.7
???? ???? ???????	Ouahat Sidi Brahim	31.7
??????	Fraita	31.7
????? ??? ????	My Abdellah	31.6
???? ????	Sidi Abed	31.6
????? ?????	Ouled Slama	31.6
????????	M'saada	31.6
??????	N'khila	31.6
?????	Azghar	31.6
??????	Bouarouss	31.6
???????	M'haya	31.6
??? ?????	Sebaa Rouadi	31.6
???? ???	Dayat-Aoua	31.6
??????	Loulja	31.6
???? ??? ??????	Sidi Ali Bel Quassem	31.6
???????	Ezzaouite	31.6
??? ?????	Ait Tamlil	31.6
???? ??????	Sidi Al Kamel	31.5
?????	Haouzia	31.5
??? ??????	Ait Taleb	31.5
????? ?????	Agoudi N'lkhair	31.5
?????	Lkheng	31.5
??????	Et-Taous	31.5
???? ??????	Sidi Ettiji	31.4
???????? ????? ??????	Almajjatia Oulad Taleb	31.4
????	Mniaa	31.4
??????	Tassift	31.4
???????	Louadaine	31.4
???? ???? ?????	Kandar Sidi Khiar	31.4
???? ??????	Outabouabane	31.4
???? ?????	Sidi Ishaq	31.4
?????	Aglif	31.4
????? ?????	Oulad Moumna	31.4
???? ??? ??????	Sidi Abdelmoumen	31.4
????	Fezna	31.4
????	Ayir	31.3
????? ?????	Ouled H'cine	31.3
??? ???????-?????	Ain Dorbane-Lahlaf	31.3
?????	Jbiel	31.3
??? ??????	Had Boumoussa	31.3
??? ?????	Bni Bouzra	31.3
??????	Bouabout	31.3
????	Ighil	31.3
??????	Ourika	31.3
??? ?????-??? ????	Ait Hkim-Ait Yzid	31.3
??? ????? ????? ??????	Ait Sedrate Jbel El Oulia	31.3
??? ????? ???????	Bni M'hamed-Sijelmassa	31.3
????? ?????	Oulad Rahmoune	31.2
???? ??? ??????	Sidi Abdelkhaleq	31.2
????????	Mansoura	31.2
???? ??????	Sidi El Abed	31.2
????????	M'khalif	31.2
??????	M'ramer	31.2
???? ????	Sidi Ghaneme	31.2
???????	Tahelouante	31.2
?????	Assais	31.2
??????	M'zouda	31.2
???????	Choara	31.2
??? ???	Bouya Omar	31.2
???? ?????	Sidi Yacoub	31.2
???????	Tagounite	31.2
?????	Er-Rteb	31.2
???????	El Beddouza	31.1
???? ????? ?????	Sidi M'hamed Akhdim	31.1
???????	Esbiaat	31.1
???? ???? ??????	Sidi Ameur Al Hadi	31.1
??? ????	Bni Mathar	31.1
?????	Rahhala	31.1
??? ??????	Imi-N'oulaoune	31.1
??????	Allougoum	31.1
????? ??? ??????	Moulay Ali Cherif	31.1
????? ????	Zaouiat Saiss	31
???? ??????	Sidi Lyamani	31
??? ??????	Souk Tolba	31
???? ??? ????	Sidi Abdellah	31
????????	Sgamna	31
?????????	Sahtryine	31
??????	Amellagou	31
????? ???? ??? ??????	Ouled Sidi Abdelhakem	31
????? ????	Ouled Dlim	31
???????	Tassoultante	31
????????	Oukaimden	31
??? ?????	Sti Fadma	31
??????	Zagora	31
??????	Lamsabih	30.9
???? ????? ?????	Sidi M'hamed Chelh	30.9
??????	Laghdira	30.9
?????	Tizgane	30.9
????? ?????	Oulad Tayeb	30.9
??????	M'zizel	30.9
????????	Mouarid	30.9
???????	Ichamraren	30.9
???? ?????	Sidi Boubker	30.9
??????	El Marsa	30.8
??????	El Ghiate	30.8
????????	Loualidia	30.8
???? ???????	Sidi Smail	30.8
???????	Nouirate	30.8
????? ?????	Oulad Imloul	30.8
???? ?????	Tizi N'isly	30.8
????? ???? ????	Zaouiat Sidi Kacem	30.8
??? ????	Ait Izdeg	30.8
???? ???? ????????	Sidi Aissa Regragui	30.8
???? ??????	Tidili Fetouaka	30.8
??????	Tizounine	30.8
??????? ????????	Soualem Trifiya	30.7
????????	Ech-challalate	30.7
??? ?????	Ain Tizgha	30.7
????? ???? ????	Oulad Hassoune Hamri	30.7
???????	Lakhzazra	30.7
???????	El Ganzra	30.7
??? ??? ?????	Dar Ould Zidouh	30.7
???????	Zinat	30.7
?????	Tamorot	30.7
???????	Timezgana	30.7
??????	Amersid	30.7
??? ??? ????????	Ras Ain Rhamna	30.7
?????? ????	Agadir Melloul	30.7
????????	El Gouraani	30.6
?? ???????	Had Soualem	30.6
???? ?? ????	Kasbat Ben Mchich	30.6
????	Guisser	30.6
???? ???? ??????	Sidi Ahmed El Khadir	30.6
????? ????	Oulad Amer	30.6
??? ????	Oued Malha	30.6
????	Tekna	30.6
????? ????	Oulad Ayyad	30.6
???????	Outerbat	30.6
???????	Tendrara	30.6
????????	Drargua	30.6
????????	Laatamna	30.6
????????	Laattaouia	30.6
????	Anzou	30.6
????? ???????	Tamda Noumercid	30.6
?????	Loulad	30.5
????? ????	Oulad Fares	30.5
????????	El Aamria	30.5
????? ????	Ouled Nacer	30.5
??????	Rfala	30.5
??? ?? ????	Ait Ouqabli	30.5
?????	Laghdir	30.5
??????	Steha	30.5
??? ?????	Bni Selmane	30.5
??? ?????	Ras El Oued	30.5
???????	Dkhissa	30.5
????	Majjate	30.5
????? ?????	Moulay Yacoub	30.5
????? ???? ????	Zaouiat Sidi Hamza	30.5
??????	Chichaoua	30.5
?????	Bourrous	30.5
??????	Tansifte	30.5
????????	Laghnadra	30.4
??? ?????? ?????	Souk Tlet El Gharb	30.4
????????	Al Haouafate	30.4
???? ?? ???	Machraa Ben Abbou	30.4
????????	Labrikiyne	30.4
???????	Bouguargouh	30.4
??????	Taoughilt	30.4
?????	Anemzi	30.4
????????	Iguerferouane	30.4
??? ????	Sour El Aaz	30.4
?????	Tissint	30.4
??? ???	Ait Youl	30.4
???	Nagga	30.3
????	Riah	30.3
??? ???	Ait Hammou	30.3
????????	M'nabha	30.3
???? ??? ???????	Sidi Ali Labrahla	30.3
???????	Laqraqra	30.3
??????	Taounza	30.3
??????	Charqaoua	30.3
??? ??????	Oued Jemaa	30.3
??? ?????	Ain Kansara	30.3
???????	Ermila	30.3
??????	Bsara	30.3
???? ??????	Sidi Laaroussi	30.3
??????	Meskala	30.3
??????	Bizdad	30.3
???? ??? ???? ????	Sidi Abdellah Ghiat	30.3
?? ????	Foum Zguid	30.3
??? ???????	Dar Gueddari	30.2
?????	Bouchane	30.2
??? ?????	Bni Chegdale	30.2
??? ????	Bab Taza	30.2
??????	Bouchabel	30.2
?????	Iounane	30.2
??? ???? ???????	Bni Gmil Maksouline	30.2
??? ???? ????? ?????	Bni Oukil Oulad M'hand	30.2
?????	Kechoula	30.2
???????	Laamamra	30.2
???? ????	Sidi Ghanem	30.2
??????	Adassil	30.2
???? ????	Sidi Bibi	30.2
?????	Saada	30.2
??????	Ouazguita	30.2
????	Afra	30.2
??????	Boujdour	30.1
??? ?????	Sebt Gzoula	30.1
?????	Chtouka	30.1
???? ???????	Khmis Ksiba	30.1
??? ????	Ait Yadine	30.1
??? ????	Ait Mazigh	30.1
???????	Tamsaout	30.1
??? ??????	Ain Cheggag	30.1
?????	Tizguite	30.1
???????	Talsint	30.1
???? ??? ??????	Sidi Abdeljalil	30.1
??????	Atouabet	30.1
????? ??????	Oulad M'rabet	30.1
???? ????? ???????	Sidi M'hamed Ou Marzouq	30.1
????????	Mzilate	30.1
???? ???????	Sid L'mokhtar	30.1
?????????	Talmakante	30.1
??? ??????	Oued Essafa	30.1
??????	Abaynou	30.1
?????	Tiglit	30.1
?????	Hrara	30
???????	Saadla	30
????? ?????	Oulad Amrane	30
????? ????	Oulad Nouel	30
????? ????	Oulad Azzouz	30
??????? ??????	Lamharza Essahel	30
??? ????	Bni Ykhlef	30
???????	Lamrabih	30
???????	Jbabra	30
??? ????? ?????	Ait Sebaa Lajrouf	30
???????-?????	Ksabi-Moulouya	30
??? ?????	Ait Amira	30
???????	Tameslohte	30
???????	Aghouatim	30
???????? ????????	Laattaouia Ech-Chaibia	30
?????	Tabant	30
??????	Tarfaya	29.9
???????	Lahsasna	29.9
??????	Mrizigue	29.9
?? ????	Foum Oudi	29.9
?? ??????	Foum El Anceur	29.9
??? ????	Bni Rzine	29.9
????? ??????	Rbaa El Fouki	29.9
??????	Assebbab	29.9
???????	El Orjane	29.9
??????	Lamrija	29.9
????????	Jaidate	29.9
?????	Ouargui	29.9
??????	Boudnib	29.9
????? ?????	Oulad Sbaita	29.8
???? ?????	Sidi Mansour	29.8
?????? ????????	Mzamza Janoubia	29.8
????	Rima	29.8
??? ????	Bni Khloug	29.8
???? ?????	Kasbat Troch	29.8
??????	Bghaghza	29.8
????? ????	Oulad Daoud	29.8
????? ??????	Oulad Bourima	29.8
???????	Mibladen	29.8
??? ????	Ait Said	29.8
??????	Tafetachte	29.8
??? ?????? ????	Souk Lakhmis Dades	29.8
??????	Labkhati	29.7
?????? ????? ?????	Sahel Oulad H'riz	29.7
???? ??? ??????	Sidi Abdelkrim	29.7
???????	Laamria	29.7
????? ???? ???????	Zaouiat Sidi Ben Hamdoun	29.7
????? ?????	Oulad Ftata	29.7
?????	Tabia	29.7
??? ????	Bni A'yat	29.7
??? ?????	Ait Ouaarda	29.7
??? ?????	Bni Darkoul	29.7
?????	Amtar	29.7
?????	Chakrane	29.7
?????	Ouizeght	29.7
???? ????	Sidi Lahsen	29.7
?????? ??????	Timzguida-Ouftas	29.7
???????	Al Ouidane	29.7
??????	Tlauh	29.7
???????	Es-Sfalat	29.7
??????	Bouhmame	29.6
????? ??????	Ksar Sghir	29.6
??? ??????	Bni Tsiriss	29.6
???? ??????	Sidi Boumehdi	29.6
??? ????	Ain Blal	29.6
??? ????	Ait Taguella	29.6
?????	Saddina	29.6
??? ?????	Bni Gmil	29.6
?????????	Mrhassiyine	29.6
????	Tissa	29.6
????	Assoul	29.6
???? ????	Ida Ou Aazza	29.6
?????	Zemrane	29.6
??????	Tighedouine	29.6
????? ??????	Ferkla El Oulia	29.6
??? ????	Sebt Saiss	29.5
??? ??????	Moul El Bergui	29.5
????????	Khnichet	29.5
????? ????	Oulad Ziyane	29.5
?????????	Lambarkiyne	29.5
????????	Braksa	29.5
????????	Khlalfa	29.5
???????	Laanoussar	29.5
??? ?????	Bni Tadjite	29.5
??????	Bouzemmour	29.5
????????	Saidate	29.5
??? ????	Ait Hadi	29.5
???? ????? ????	Sidi M'hamed Dalil	29.5
???? ???? ??????	Sidi Moussa Lhamri	29.5
??????	Tahannaout	29.5
??? ?????	Ahl Tifnoute	29.5
????? ??????	Gheris Es-Soufli	29.5
?????	Jorf	29.5
?????	Arfoud	29.5
?? ?????	Foum El Oued	29.4
??? ?? ????	Dar Si Aissa	29.4
??? ?????	Jbel Lahbib	29.4
???? ????	Sidi Azzouz	29.4
??? ????	Tit Mellil	29.4
??????	Deroua	29.4
???? ???? ?? ????	Sidi Mohammed Ben Rahal	29.4
???? ??????	Sidi Taibi	29.4
????? ?? ?????	Ouled Ben Hammadi	29.4
???? ???? ?? ???	Sidi Aissa Ben Ali	29.4
?????	Isseksi	29.4
???????	Rhouazi	29.4
???? ????? ?????	Sidi Haj M'hamed	29.4
??? ?????	Bni Frassen	29.4
?????	Zaggota	29.4
??? ?????	Ain Bou Ali	29.4
???????	Tafajight	29.4
??? ?????	Ain Sfa	29.4
????? ?? ??????	Zaouiat Ben Hmida	29.4
????????	Souihla	29.4
??? ?????	Ait Faska	29.4
??? ?????	Ait Majden	29.4
??????	Akhfennir	29.3
??? ????	Bni Garfett	29.3
???? ???? ???????	Sidi Moussa El Majdoub	29.3
????? ?????	Oulad Hamdane	29.3
???????	Laatatra	29.3
???????	Lagnadiz	29.3
??????	Boumaiz	29.3
??? ?????	Bab Tiouka	29.3
??? ????	Ait Ouallal	29.3
????? ?????	Oulad Abdoune	29.3
???????	El Foqra	29.3
????? ????	Oulad Aissa	29.3
???????	Al Hamra	29.3
?????	Tanaqoub	29.3
????????	Derdara	29.3
??? ????	Bni Said	29.3
???? ??????	Sidi Mokhfi	29.3
????? ??????	Oulad Chrif	29.3
?????	Barkine	29.3
???? ????-??????	Sidi Moussa Lemhaya	29.3
??????	Tarmigt	29.3
???? ?? ????	Kariat Ben Aouda	29.2
????????	Laghnimyine	29.2
??? ????	Bni Yakhlef	29.2
???? ??????	Sidi Dahbi	29.2
???? ???? ????????	Sidi Allal El Bahraoui	29.2
???? ???? ????	Sidi Yahya Zaer	29.2
????? ????	Oulad Fennane	29.2
??? ?????	Ain Maatouf	29.2
??? ???	Bni Lent	29.2
?????	Bouarg	29.2
????? ??????	Oulad Zbair	29.2
???? ?????	Imi-N'tlit	29.2
????	Majjat	29.2
?????	Tigouga	29.2
????????	Bouizakarne	29.2
?????	Tidili	29.2
???????	Taznakht	29.2
??????	Idelsane	29.2
??????	Mezguita	29.2
???	Akka	29.2
?? ???????	Oum El Guerdane	29.2
???? ????	Sidi Aissa	29.1
???? ??? ?? ?????	Sidi Ali Ben Hamdouche	29.1
????? ???? ??? ?? ????	Oulad Sidi Ali Ben Youssef	29.1
??? ????	Bni Oukil	29.1
????	Tisqi	29.1
??????	Boukhrisse	29.1
???????	Mazguitam	29.1
????? ???????	Ghiata Al Gharbia	29.1
????? ??????	Almis Marmoucha	29.1
???? ???????	Sidi El Jazouli	29.1
????????	Imintanoute	29.1
?????	Aghbar	29.1
????????	Loudaya	29.1
?????	Ghmate	29.1
????	Asni	29.1
??????	Tamallalt	29.1
????? ??? ?????	Skoura Ahl El Oust	29.1
???? ???? ??????	Sidi Ahmed Benaissa	29
???????	Nouaceur	29
?????	Mellila	29
??? ???????	Oued Naanaa	29
????? ?????	Ouled M'hamed	29
????? ???? ?? ?????	Moulay Aissa Ben Driss	29
?????	Anjra	29
????	Azla	29
??? ??????	Jorf El Melha	29
??? ???????	Oued Jdida	29
??? ????	Ain Legdah	29
?????	Amouguer	29
?????	Missour	29
????????	Korimate	29
???? ?????	Sidi Dahmane	29
?????	Agafay	29
?????	Anougal	29
?????? ????	Boumalne-Dades	29
????????	Lahraouyine	28.9
????? ????	Ouled Salah	28.9
?????	Jaqma	28.9
????? ???? ?????	Ouled Said Loued	28.9
??? ????	Ain Lahsan	28.9
??? ???? ???????	Bni Ahmed Cherqia	28.9
??? ?????? ???????	Abdelghaya Souahel	28.9
???????	Bouchfaa	28.9
?????	Agoudim	28.9
????? ????? ???	Houara Oulad Raho	28.9
???? ?????	Sidi Boutayeb	28.9
???????	Lagdadra	28.9
??? ?????	Imi-N'fast	28.9
?????	Tanant	28.9
??????? ???????	M'hamid El Ghizlane	28.9
????	Chahda	28.8
??????	Bouguedra	28.8
????? ???	Ouled Frej	28.8
????? ?? ?????	Oulad Si Bouhya	28.8
??? ????	Bni Hassane	28.8
???????	Targuist	28.8
???? ??????	Sidi Boutmim	28.8
?????	Rhafsai	28.8
??????	Mezraoua	28.8
?????	Laqsir	28.8
???????	Bouyablane	28.8
?????	Taddart	28.8
????? ????	Oulad Settout	28.8
??? ?????	Ain Lehjer	28.8
?????	Nfifa	28.8
?????	Belfaâ	28.8
??????	Tinejdad	28.8
???? ??????	Lbir Jdid	28.7
??? ????	Ben Guerir	28.7
????? ????	Ouled Zmam	28.7
????? ???????	Ouled Bourahmoune	28.7
????? ??????	Ksar El Majaz	28.7
?????	Tabouda	28.7
???????	Tifarouine	28.7
??? ???????	Ain Bida	28.7
???? ???? ?? ????	Sidi Youssef Ben Ahmed	28.7
?????	Zaida	28.7
?????	Tamanar	28.7
????? ?????	Oulad Berhil	28.7
?????	Gmassa	28.7
????? ?????	Saniat Berguig	28.6
?????	Lmechrek	28.6
??????	Al Kharroub	28.6
??? ?????	Dar Bouazza	28.6
??? ????	Bni Hilal	28.6
???? ???????	Sidi El Aidi	28.6
???? ????	Sidi Bettache	28.6
???? ???? ?????	Sidi Yahia El Gharb	28.6
???????	Fnideq	28.6
???????	Zaitoune	28.6
??????	Taghzout	28.6
?????	Zouagha	28.6
?????	Iqaddar	28.6
??? ?????	Ait Erkha	28.6
???????	Jouala	28.6
??????	Laâyoune	28.5
???????	Lamaachate	28.5
???????	Bouskoura	28.5
???? ????	Sidi Ghanem	28.5
????? ???? ??????	Oulad Aamer Tizmarine	28.5
????	Sabbah	28.5
??? ??? ??????	Ait Ali Ou Lahcen	28.5
???? ??????	M'qam Tolba	28.5
??????	Tanougha	28.5
??? ??????	Souk Kdim	28.5
??? ??? ????	Dar Bni Karrich	28.5
??????	Taounate	28.5
???? ?????	Jnan El Ouard	28.5
????	Bitit	28.5
???? ???????	Sidi Bou Othmane	28.5
?????	Iguidi	28.5
??? ???? ????	Ait Sidi Daoud	28.5
??? ?????	Ait Ourir	28.5
???????	Zagmouzen	28.5
?????	Tinghir	28.5
???????	Dakhla	28.4
??????	Zmamra	28.4
??????	Sahel	28.4
?????	Tamda	28.4
?????? ????? ????	Foqra Oulad Aameur	28.4
??????	Meskoura	28.4
????? ????? ???????	Oulad Bouali Nouaja	28.4
????? ??????	Oulad Boughadi	28.4
??? ???	Bni Leit	28.4
?????	Al Oued	28.4
??????	Bouadel	28.4
??? ??????	Ain Mediouna	28.4
???????	Traiba	28.4
??? ?????	Ouad Amlil	28.4
??????	Aghbalou	28.4
??? ????	Ait Ayach	28.4
???? ?????	Assif El Mal	28.4
??? ????	Ait Igas	28.4
??? ??????	Sid Zouine	28.4
????? ???????	Moulay Brahim	28.4
????	Tlite	28.4
????	Tifni	28.4
?????	Aoufous	28.4
?????	Tah	28.3
?????	Ahlaf	28.3
???? ????????	Skhour Rhamna	28.3
??? ??????	Ain Sbit	28.3
??????	Bradia	28.3
?????	Allyene	28.3
??? ????	Bni Snous	28.3
??? ??? ????	Ait Harz Allah	28.3
??? ?????	Ras Laksar	28.3
????? ?????	Outat El Haj	28.3
???????	Mestferki	28.3
???	Mejji	28.3
??? ?????	Ait Imour	28.3
???????	Taouyalte	28.3
????? ???????	Zemrane Charqia	28.3
?????	Khouzama	28.3
????	Tata	28.3
