Libelle Arabe	commune	taux_jeunesse	commune_norm
??? ????	Abbou Lakhal	39.6	abboulakhal
????	H'ssyia	39.2	hssyia
??? ??????	Ait Boudaoud	37.7	aitboudaoud
??????	Taghbalte	37.7	taghbalte
????	Tichla	37.4	tichla
??????	Bleida	37.0	bleida
??????	Maatarka	36.9	maatarka
??? ????	Ait Abbas	36.8	aitabbas
??????	Bouchaouene	36.7	bouchaouene
??? ??????	Ait El Farsi	36.4	aitelfarsi
??? ????	Ait Ouallal	36.1	aitouallal
???????	Lounasda	36.0	lounasda
??????	Fezouata	36.0	fezouata
????? ?????	Oulad El Garne	35.9	ouledelgarne
??????	Ternata	35.9	ternata
??????	Ouaklim	35.7	ouaklim
??? ?????	Lalla Aaziza	35.5	lallaaaziza
???????	Bouzeroual	35.4	bouzeroual
??????	Errouha	35.4	errouha
????? ?????	Oulad Chbana	35.3	ouledchbana
?????	Anergui	35.2	anergui
???? ??????	Ighil N'oumgoun	35.2	ighilnoumgoun
??????	Ikniouen	35.2	ikniouen
???? ????	Sidi Chiker	35.1	sidichiker
???? ??? ???? ??????	Sidi Abdellah Al Khayat	35.0	sidiabdellahelkhayat
???????	Ben Mansour	34.9	benmansour
??? ?????	Bni Yagrine	34.9	bniyagrine
???????	Haddada	34.8	haddada
???? ???????	Ameur Seflia	34.7	ameurseflia
????????	Laouamra	34.6	laouamra
???? ????? ?????	Sidi Boubker El Haj	34.6	sidiboubkerelhaj
??? ?????	Ras El Ain	34.5	raselain
????????	Imindounit	34.5	imindounit
???????	Taftechna	34.5	taftechna
????	Mikkes	34.4	mikkes
?????	Messassa	34.4	messassa
????? ????	Jnane Bouih	34.3	jnanebouih
??? ?????	Hjar Ennhal	34.3	hjarennhal
???? ???? ???????	Sidi Mohamed Benmansour	34.3	sidimohamedbenmansour
???? ??????	Sidi El Hattab	34.3	sidielhattab
????????	Kceibya	34.3	kceibya
????? ??????	Zaouiat Ahansal	34.3	zaouiatahansal
??? ????	Ait Hani	34.3	aithani
???????	Tazarine	34.3	tazarine
???? ???? ????	Sidi Mohamed Lahmar	34.2	sidimohamedlahmar
????? ????	Oulad Aamer	34.2	ouledaamer
??????	Tabaroucht	34.2	tabaroucht
???? ??????	Sidi Boulkhalf	34.2	sidiboulkhalf
??? ????	Bni Zoli	34.2	bnizoli
???? ????????	Ameur Chamalia	34.1	ameurchamalia
?????? ????	Nzalat Laadam	34.1	nzalatlaadam
??? ??? ????	Ait Haddou Youssef	34.1	aithaddouyoussef
????????	Hiadna	34.0	hiadna
??? ?????	Ait Blal	34.0	aitblal
????? ????? ?????	Oulad Bouali Loued	33.9	ouledboualiloued
??? ?????	Bni Mansour	33.9	bnimansour
????	Tilmi	33.9	tilmi
??? ????	Bni Salah	33.8	bnisalah
??? ??????	Bni Bouchibet	33.8	bnibouchibet
????? ?????	Ouled Ghziyel	33.8	ouledghziyel
????? ???? ???	Taghzoute N'ait Atta	33.8	taghzoutenaitatta
?????	M'ssici	33.8	mssici
????? ????? ????	Bahhara Ouled Ayad	33.7	bahharaouledayad
???????	Lakhoualqa	33.7	lakhoualqa
??? ????	Bni Smih	33.7	bnismih
???? ????? ?? ????	Sidi M'hamed Ben Lahcen	33.7	sidimhamedbenlahcen
???	Guir	33.7	guir
?????? ??????	Bouabout Amdlane	33.7	bouaboutamdlane
???????	Irohalen	33.7	irohalen
??? ?????	Ait M'hamed	33.7	aitmhamed
?????	Tissaf	33.6	tissaf
??? ???	Bni Guil	33.6	bniguil
???????	Laaouama	33.5	laaouama
???????	Chtaiba	33.5	chtaiba
????????	El Bsabsa	33.5	elbsabsa
??? ?????	Bni Ammart	33.5	bniammart
???????	Tamegroute	33.5	tamegroute
????????	Er-Rissani	33.5	errissani
??????	Mograne	33.4	mograne
??????	Es-Sifa	33.4	essifa
??????	Jabria	33.3	jabria
????????	Jaafra	33.3	jaafra
????? ??????	Oulad Cherki	33.3	ouledcherki
???????	En-Nzala	33.3	ennzala
??????	El Atef	33.3	elatef
?????	Mrija	33.3	mrija
????? ????	Oulad Khallouf	33.3	ouledkhallouf
??? ??????	M'zem Sanhaja	33.2	mzemsanhaja
??????	Boumerieme	33.2	boumerieme
??????? ???????	Zaouia Annahlia	33.2	zaouiaannahlia
?????	Azrar	33.2	azrar
????	Melaab	33.2	melaab
???? ???? ?????	Aarab Sebbah Gheris	33.2	aarabsebbahgheris
?????	Zouada	33.1	zouada
????? ??????	Skoura Lhadra	33.1	skouralhadra
???? ????	Sidi Aayad	33.1	sidiaayad
????? ????	Louad Lakhdar	33.1	louadlakhdar
??? ????	Ait Aadel	33.1	aitaadel
??? ????? ????? ???????	Ait Sedrate Sahl El-Gharbia	33.1	aitsedratesahlelgharbia
?????	Alnif	33.1	alnif
????? ?????	Oulad Ouchih	33.0	ouledouchih
??? ?????	Bni Bchir	33.0	bnibchir
????????	Taouloukoult	33.0	taouloukoult
???? ????	Afalla Issen	33.0	afallaissen
??????	N'kob	33.0	nkob
????? ?????	Ouled Hcine	32.9	ouledhcine
????	Jdour	32.9	jdour
???????	Chouafaa	32.9	chouafaa
???????	Tilougguite	32.9	tilougguite
????????	Imilmaiss	32.9	imilmaiss
?????	Toubkal	32.9	toubkal
?????	Imider	32.9	imider
?????	Lamharra	32.8	lamharra
???? ???? ?????	Sidi Yahia Ou Youssef	32.8	sidiyahiaouyoussef
??????	Gteter	32.8	gteter
?????	Harbil	32.8	harbil
???? ???? ?? ??????	Sidi Aissa Ben Slimane	32.8	sidiaissabenslimane
???????	Tinzouline	32.8	tinzouline
?????? ???????	Aghbalou-N'kerdous	32.8	aghbalounkerdous
????	Mogress	32.7	mogress
?????	Kridid	32.7	kridid
??? ????????	Dar Laaslouji	32.7	darlaaslouji
????? ??????	Oulad Freiha	32.7	ouledfreiha
????? ???? ????	Tiffert N'ait Hamza	32.7	tiffertnaithamza
??????	Ouaouzgane	32.7	ouaouzgane
????	Saka	32.7	saka
??? ????????	Sebt Loudaya	32.7	sebtloudaya
???????	Laajajra	32.7	laajajra
?????	Akarma	32.7	akarma
????????	Afella N'dra	32.7	afellandra
???????	M'semrir	32.7	msemrir
???? ??????	Oued Naam	32.7	ouednaam
??????	Tagleft	32.6	tagleft
???? ??????	Sidi Bouzineb	32.6	sidibouzineb
?????	Ighoud	32.6	ighoud
?????	Ahdil	32.6	ahdil
??? ????? ????? ???????	Ait Sedrate Sahl Charkia	32.6	aitsedratesahlcharkia
????? ???? ??????	Oulad Yahia Lagraire	32.6	ouledyahialagraire
???? ???	Sidi Ali	32.6	sidiali
?????? ????????	Rissana Janoubia	32.5	rissanajanoubia
????? ???????	Moulay Bousselham	32.5	moulaybousselham
????????	Sfafaa	32.5	sfafaa
??????	Eddachra	32.5	eddachra
??? ???????	Dar Bel Amri	32.5	darbelamri
??? ???	Bni Idder	32.5	bniidder
??? ??????	Ait Oumdis	32.5	aitoumdis
?????	Ouaoula	32.5	ouaoula
??????	Tamezmoute	32.5	tamezmoute
?????? ????????	Rissana Chamalia	32.4	rissanachamalia
???????	Rmilat	32.4	rmilat
???????	Boutferda	32.4	boutferda
????????	Mkansa	32.4	mkansa
??? ???????	Ain Tazitounte	32.4	aintazitounte
?????	Dzouz	32.4	dzouz
????? ????	Ouled Ghanem	32.3	ouledghanem
???? ??? ????	Koudiat Bni Dghough	32.3	koudiatbnidghough
??????	Jouamaa	32.3	jouamaa
???? ???? ??? ????	Sidi Hajjaj Oued Hassar	32.3	sidihajjajouedhassar
????? ?????	Oulad Massaoud	32.3	ouledmassaoud
????	Ameur	32.3	ameur
???? ???????	Sidi Boulaalam	32.3	sidiboulaalam
???????	Atiamim	32.2	atiamim
??????	Arbaoua	32.2	arbaoua
???? ???? ??????	Sidi Allal Tazi	32.2	sidiallaltazi
????? ????	Oulad Sbih	32.2	ouledsbih
????? ?????	Oulad Msabbel	32.2	ouledmsabbel
???? ????	Sidi Moussa	32.2	sidimoussa
??????	Taouzint	32.2	taouzint
????? ?????	Oulad Yaacoub	32.2	ouledyaacoub
??? ???? ???????	Bni Ahmed Imoukzan	32.2	bniahmedimoukzan
??? ????	Ait Yahya	32.2	aityahya
????????	Fritissa	32.2	fritissa
????? ????	Oulad Aarrad	32.2	ouledaarrad
??? ???? ???	Aarab Sebbah Ziz	32.2	aarabsebbahziz
?????	Ktaoua	32.2	ktaoua
???????	Lamrasla	32.1	lamrasla
???????	Gueznaia	32.1	gueznaia
???????	Souaken	32.1	souaken
????	Mayate	32.1	mayate
????????	Errafiaya	32.1	errafiaya
?????	Issaguen	32.1	issaguen
?????	Selfat	32.1	selfat
?????	Gourrama	32.1	gourrama
??????	Bouanane	32.1	bouanane
????	Isly	32.1	isly
?????	Zag	32.1	zag
??? ??????	Ait Bou Oulli	32.1	aitbououlli
????	Agdz	32.1	agdz
??? ???????	Sebt Azzinate	32.0	sebtazzinate
????? ????	Oulad Zarrad	32.0	ouledzarrad
???? ????	Sidi Daoud	32.0	sididaoud
??? ?????	Ain Chkef	32.0	ainchkef
??????	Bou-Azmou	32.0	bouazmou
???????	Douirane	32.0	douirane
???????	Labouirat	32.0	labouirat
???? ?????	Kalâat M'gouna	32.0	kalaatmgouna
?????	Malloussa	31.9	malloussa
????????	Mnasra	31.9	mnasra
??? ????	Ksar Bjir	31.9	ksarbjir
???? ????	Sidi Hajjaj	31.9	sidihajjaj
??? ???????	Dar Chaffai	31.9	darchaffai
???????	El Marbouh	31.9	elmarbouh
??????	Imilchil	31.9	imilchil
????? ???? ??? ??????	Zaouiat Sidi Abdelkader	31.9	zaouiatsidiabdelkader
????? ?????	Oulad Mimoun	31.9	ouledmimoun
???????	Assahrij	31.9	assahrij
????? ????	Oulad Aissa	31.8	ouledaissa
??? ??????	Lalla Mimouna	31.8	lallamimouna
??? ????	Beni Malek	31.8	benimalek
?????	Sefsaf	31.8	sefsaf
???????	Toualet	31.8	toualet
??????	Znada	31.8	znada
??????	Bouhouda	31.8	bouhouda
??? ???????	Guers Tiaallaline	31.8	guerstiaallaline
????? ?????	Ouled M'hamed	31.8	ouledmhamed
??? ?????	Ait Daoud	31.8	aitdaoud
??????	Timlilt	31.8	timlilt
??? ?????	Ait Ouassif	31.8	aitouassif
????? ?????	Chorfa M'daghra	31.8	chorfamdaghra
??????	El Ouatia	31.7	elouatia
??????????	Al Bahraoyine	31.7	elbahraoyine
????? ????	Ouled Youssef	31.7	ouledyoussef
????? ???? ??????	Moulay Ahmed Cherif	31.7	moulayahmedcherif
????	Zarkt	31.7	zarkt
??? ?????	Ain Aicha	31.7	ainaicha
?????	Kouzemt	31.7	kouzemt
???????	Lamzoudia	31.7	lamzoudia
???? ???? ???????	Ouahat Sidi Brahim	31.7	ouahatsidibrahim
??????	Fraita	31.7	fraita
????? ??? ????	My Abdellah	31.6	myabdellah
???? ????	Sidi Abed	31.6	sidiabed
????? ?????	Ouled Slama	31.6	ouledslama
????????	M'saada	31.6	msaada
??????	N'khila	31.6	nkhila
?????	Azghar	31.6	azghar
??????	Bouarouss	31.6	bouarouss
???????	M'haya	31.6	mhaya
??? ?????	Sebaa Rouadi	31.6	sebaarouadi
???? ???	Dayat-Aoua	31.6	dayataoua
??????	Loulja	31.6	loulja
???? ??? ??????	Sidi Ali Bel Quassem	31.6	sidialibelquassem
???????	Ezzaouite	31.6	ezzaouite
??? ?????	Ait Tamlil	31.6	aittamlil
???? ??????	Sidi Al Kamel	31.5	sidielkamel
?????	Haouzia	31.5	haouzia
??? ??????	Ait Taleb	31.5	aittaleb
????? ?????	Agoudi N'lkhair	31.5	agoudinlkhair
?????	Lkheng	31.5	lkheng
??????	Et-Taous	31.5	ettaous
???? ??????	Sidi Ettiji	31.4	sidiettiji
???????? ????? ??????	Almajjatia Oulad Taleb	31.4	almajjatiaouledtaleb
????	Mniaa	31.4	mniaa
??????	Tassift	31.4	tassift
???????	Louadaine	31.4	louadaine
???? ???? ?????	Kandar Sidi Khiar	31.4	kandarsidikhiar
???? ??????	Outabouabane	31.4	outabouabane
???? ?????	Sidi Ishaq	31.4	sidiishaq
?????	Aglif	31.4	aglif
????? ?????	Oulad Moumna	31.4	ouledmoumna
???? ??? ??????	Sidi Abdelmoumen	31.4	sidiabdelmoumen
????	Fezna	31.4	fezna
????	Ayir	31.3	ayir
????? ?????	Ouled H'cine	31.3	ouledhcine
??? ???????-?????	Ain Dorbane-Lahlaf	31.3	aindorbanelahlaf
?????	Jbiel	31.3	jbiel
??? ??????	Had Boumoussa	31.3	hadboumoussa
??? ?????	Bni Bouzra	31.3	bnibouzra
??????	Bouabout	31.3	bouabout
????	Ighil	31.3	ighil
??????	Ourika	31.3	ourika
??? ?????-??? ????	Ait Hkim-Ait Yzid	31.3	aithkimaityzid
??? ????? ????? ??????	Ait Sedrate Jbel El Oulia	31.3	aitsedratejbeleloulia
??? ????? ???????	Bni M'hamed-Sijelmassa	31.3	bnimhamedsijelmassa
????? ?????	Oulad Rahmoune	31.2	ouledrahmoune
???? ??? ??????	Sidi Abdelkhaleq	31.2	sidiabdelkhaleq
????????	Mansoura	31.2	mansoura
???? ??????	Sidi El Abed	31.2	sidielabed
????????	M'khalif	31.2	mkhalif
??????	M'ramer	31.2	mramer
???? ????	Sidi Ghaneme	31.2	sidighaneme
???????	Tahelouante	31.2	tahelouante
?????	Assais	31.2	assais
??????	M'zouda	31.2	mzouda
???????	Choara	31.2	choara
??? ???	Bouya Omar	31.2	bouyaomar
???? ?????	Sidi Yacoub	31.2	sidiyacoub
???????	Tagounite	31.2	tagounite
?????	Er-Rteb	31.2	errteb
???????	El Beddouza	31.1	elbeddouza
???? ????? ?????	Sidi M'hamed Akhdim	31.1	sidimhamedakhdim
???????	Esbiaat	31.1	esbiaat
???? ???? ??????	Sidi Ameur Al Hadi	31.1	sidiameurelhadi
??? ????	Bni Mathar	31.1	bnimathar
?????	Rahhala	31.1	rahhala
??? ??????	Imi-N'oulaoune	31.1	iminoulaoune
??????	Allougoum	31.1	allougoum
????? ??? ??????	Moulay Ali Cherif	31.1	moulayalicherif
????? ????	Zaouiat Saiss	31.0	zaouiatsaiss
???? ??????	Sidi Lyamani	31.0	sidilyamani
??? ??????	Souk Tolba	31.0	souktolba
???? ??? ????	Sidi Abdellah	31.0	sidiabdellah
????????	Sgamna	31.0	sgamna
?????????	Sahtryine	31.0	sahtryine
??????	Amellagou	31.0	amellagou
????? ???? ??? ??????	Ouled Sidi Abdelhakem	31.0	ouledsidiabdelhakem
????? ????	Ouled Dlim	31.0	ouleddlim
???????	Tassoultante	31.0	tassoultante
????????	Oukaimden	31.0	oukaimden
??? ?????	Sti Fadma	31.0	stifadma
??????	Zagora	31.0	zagora
??????	Lamsabih	30.9	lamsabih
???? ????? ?????	Sidi M'hamed Chelh	30.9	sidimhamedchelh
??????	Laghdira	30.9	laghdira
?????	Tizgane	30.9	tizgane
????? ?????	Oulad Tayeb	30.9	ouledtayeb
??????	M'zizel	30.9	mzizel
????????	Mouarid	30.9	mouarid
???????	Ichamraren	30.9	ichamraren
???? ?????	Sidi Boubker	30.9	sidiboubker
??????	El Marsa	30.8	elmarsa
??????	El Ghiate	30.8	elghiate
????????	Loualidia	30.8	loualidia
???? ???????	Sidi Smail	30.8	sidismail
???????	Nouirate	30.8	nouirate
????? ?????	Oulad Imloul	30.8	ouledimloul
???? ?????	Tizi N'isly	30.8	tizinisly
????? ???? ????	Zaouiat Sidi Kacem	30.8	zaouiatsidikacem
??? ????	Ait Izdeg	30.8	aitizdeg
???? ???? ????????	Sidi Aissa Regragui	30.8	sidiaissaregragui
???? ??????	Tidili Fetouaka	30.8	tidilifetouaka
??????	Tizounine	30.8	tizounine
??????? ????????	Soualem Trifiya	30.7	soualemtrifiya
????????	Ech-challalate	30.7	echchallalate
??? ?????	Ain Tizgha	30.7	aintizgha
????? ???? ????	Oulad Hassoune Hamri	30.7	ouledhassounehamri
???????	Lakhzazra	30.7	lakhzazra
???????	El Ganzra	30.7	elganzra
??? ??? ?????	Dar Ould Zidouh	30.7	darouldzidouh
???????	Zinat	30.7	zinat
?????	Tamorot	30.7	tamorot
???????	Timezgana	30.7	timezgana
??????	Amersid	30.7	amersid
??? ??? ????????	Ras Ain Rhamna	30.7	rasainrhamna
?????? ????	Agadir Melloul	30.7	agadirmelloul
????????	El Gouraani	30.6	elgouraani
?? ???????	Had Soualem	30.6	hadsoualem
???? ?? ????	Kasbat Ben Mchich	30.6	kasbatbenmchich
????	Guisser	30.6	guisser
???? ???? ??????	Sidi Ahmed El Khadir	30.6	sidiahmedelkhadir
????? ????	Oulad Amer	30.6	ouledamer
??? ????	Oued Malha	30.6	ouedmalha
????	Tekna	30.6	tekna
????? ????	Oulad Ayyad	30.6	ouledayyad
???????	Outerbat	30.6	outerbat
???????	Tendrara	30.6	tendrara
????????	Drargua	30.6	drargua
????????	Laatamna	30.6	laatamna
????????	Laattaouia	30.6	laattaouia
????	Anzou	30.6	anzou
????? ???????	Tamda Noumercid	30.6	tamdanoumercid
?????	Loulad	30.5	loulad
????? ????	Oulad Fares	30.5	ouledfares
????????	El Aamria	30.5	elaamria
????? ????	Ouled Nacer	30.5	oulednacer
??????	Rfala	30.5	rfala
??? ?? ????	Ait Ouqabli	30.5	aitouqabli
?????	Laghdir	30.5	laghdir
??????	Steha	30.5	steha
??? ?????	Bni Selmane	30.5	bniselmane
??? ?????	Ras El Oued	30.5	raseloued
???????	Dkhissa	30.5	dkhissa
????	Majjate	30.5	majjate
????? ?????	Moulay Yacoub	30.5	moulayyacoub
????? ???? ????	Zaouiat Sidi Hamza	30.5	zaouiatsidihamza
??????	Chichaoua	30.5	chichaoua
?????	Bourrous	30.5	bourrous
??????	Tansifte	30.5	tansifte
????????	Laghnadra	30.4	laghnadra
??? ?????? ?????	Souk Tlet El Gharb	30.4	souktletelgharb
????????	Al Haouafate	30.4	elhaouafate
???? ?? ???	Machraa Ben Abbou	30.4	machraabenabbou
????????	Labrikiyne	30.4	labrikiyne
???????	Bouguargouh	30.4	bouguargouh
??????	Taoughilt	30.4	taoughilt
?????	Anemzi	30.4	anemzi
????????	Iguerferouane	30.4	iguerferouane
??? ????	Sour El Aaz	30.4	sourelaaz
?????	Tissint	30.4	tissint
??? ???	Ait Youl	30.4	aityoul
???	Nagga	30.3	nagga
????	Riah	30.3	riah
??? ???	Ait Hammou	30.3	aithammou
????????	M'nabha	30.3	mnabha
???? ??? ???????	Sidi Ali Labrahla	30.3	sidialilabrahla
???????	Laqraqra	30.3	laqraqra
??????	Taounza	30.3	taounza
??????	Charqaoua	30.3	charqaoua
??? ??????	Oued Jemaa	30.3	ouedjemaa
??? ?????	Ain Kansara	30.3	ainkansara
???????	Ermila	30.3	ermila
??????	Bsara	30.3	bsara
???? ??????	Sidi Laaroussi	30.3	sidilaaroussi
??????	Meskala	30.3	meskala
??????	Bizdad	30.3	bizdad
???? ??? ???? ????	Sidi Abdellah Ghiat	30.3	sidiabdellahghiat
?? ????	Foum Zguid	30.3	foumzguid
??? ???????	Dar Gueddari	30.2	dargueddari
?????	Bouchane	30.2	bouchane
??? ?????	Bni Chegdale	30.2	bnichegdale
??? ????	Bab Taza	30.2	babtaza
??????	Bouchabel	30.2	bouchabel
?????	Iounane	30.2	iounane
??? ???? ???????	Bni Gmil Maksouline	30.2	bnigmilmaksouline
??? ???? ????? ?????	Bni Oukil Oulad M'hand	30.2	bnioukilouledmhand
?????	Kechoula	30.2	kechoula
???????	Laamamra	30.2	laamamra
???? ????	Sidi Ghanem	30.2	sidighanem
??????	Adassil	30.2	adassil
???? ????	Sidi Bibi	30.2	sidibibi
?????	Saada	30.2	saada
??????	Ouazguita	30.2	ouazguita
????	Afra	30.2	afra
??????	Boujdour	30.1	boujdour
??? ?????	Sebt Gzoula	30.1	sebtgzoula
?????	Chtouka	30.1	chtouka
???? ???????	Khmis Ksiba	30.1	khmisksiba
??? ????	Ait Yadine	30.1	aityadine
??? ????	Ait Mazigh	30.1	aitmazigh
???????	Tamsaout	30.1	tamsaout
??? ??????	Ain Cheggag	30.1	aincheggag
?????	Tizguite	30.1	tizguite
???????	Talsint	30.1	talsint
???? ??? ??????	Sidi Abdeljalil	30.1	sidiabdeljalil
??????	Atouabet	30.1	atouabet
????? ??????	Oulad M'rabet	30.1	ouledmrabet
???? ????? ???????	Sidi M'hamed Ou Marzouq	30.1	sidimhamedoumarzouq
????????	Mzilate	30.1	mzilate
???? ???????	Sid L'mokhtar	30.1	sidlmokhtar
?????????	Talmakante	30.1	talmakante
??? ??????	Oued Essafa	30.1	ouedessafa
??????	Abaynou	30.1	abaynou
?????	Tiglit	30.1	tiglit
?????	Hrara	30.0	hrara
???????	Saadla	30.0	saadla
????? ?????	Oulad Amrane	30.0	ouledamrane
????? ????	Oulad Nouel	30.0	oulednouel
????? ????	Oulad Azzouz	30.0	ouledazzouz
??????? ??????	Lamharza Essahel	30.0	lamharzaessahel
??? ????	Bni Ykhlef	30.0	bniykhlef
???????	Lamrabih	30.0	lamrabih
???????	Jbabra	30.0	jbabra
??? ????? ?????	Ait Sebaa Lajrouf	30.0	aitsebaalajrouf
???????-?????	Ksabi-Moulouya	30.0	ksabimoulouya
??? ?????	Ait Amira	30.0	aitamira
???????	Tameslohte	30.0	tameslohte
???????	Aghouatim	30.0	aghouatim
???????? ????????	Laattaouia Ech-Chaibia	30.0	laattaouiaechchaibia
?????	Tabant	30.0	tabant
??????	Tarfaya	29.9	tarfaya
???????	Lahsasna	29.9	lahsasna
??????	Mrizigue	29.9	mrizigue
?? ????	Foum Oudi	29.9	foumoudi
?? ??????	Foum El Anceur	29.9	foumelanceur
??? ????	Bni Rzine	29.9	bnirzine
????? ??????	Rbaa El Fouki	29.9	rbaaelfouki
??????	Assebbab	29.9	assebbab
???????	El Orjane	29.9	elorjane
??????	Lamrija	29.9	lamrija
????????	Jaidate	29.9	jaidate
?????	Ouargui	29.9	ouargui
??????	Boudnib	29.9	boudnib
????? ?????	Oulad Sbaita	29.8	ouledsbaita
???? ?????	Sidi Mansour	29.8	sidimansour
?????? ????????	Mzamza Janoubia	29.8	mzamzajanoubia
????	Rima	29.8	rima
??? ????	Bni Khloug	29.8	bnikhloug
???? ?????	Kasbat Troch	29.8	kasbattroch
??????	Bghaghza	29.8	bghaghza
????? ????	Oulad Daoud	29.8	ouleddaoud
????? ??????	Oulad Bourima	29.8	ouledbourima
???????	Mibladen	29.8	mibladen
??? ????	Ait Said	29.8	aitsaid
??????	Tafetachte	29.8	tafetachte
??? ?????? ????	Souk Lakhmis Dades	29.8	souklakhmisdades
??????	Labkhati	29.7	labkhati
?????? ????? ?????	Sahel Oulad H'riz	29.7	sahelouledhriz
???? ??? ??????	Sidi Abdelkrim	29.7	sidiabdelkrim
???????	Laamria	29.7	laamria
????? ???? ???????	Zaouiat Sidi Ben Hamdoun	29.7	zaouiatsidibenhamdoun
????? ?????	Oulad Ftata	29.7	ouledftata
?????	Tabia	29.7	tabia
??? ????	Bni A'yat	29.7	bniainyat
??? ?????	Ait Ouaarda	29.7	aitouaarda
??? ?????	Bni Darkoul	29.7	bnidarkoul
?????	Amtar	29.7	amtar
?????	Chakrane	29.7	chakrane
?????	Ouizeght	29.7	ouizeght
???? ????	Sidi Lahsen	29.7	sidilahsen
?????? ??????	Timzguida-Ouftas	29.7	timzguidaouftas
???????	Al Ouidane	29.7	elouidane
??????	Tlauh	29.7	tlauh
