Libelle Arabe;commune;taux_vieillesse;commune_norm
??? ??????;Imi N'tayart;39.7;imintayart
?????;Tabia;38.1;tabia
????;Ammelne;37.7;ammelne
???????;Tassrirt;37.0;tassrirt
?????;Tanalt;36.4;tanalt
?????;Aouguenz;35.9;aouguenz
?????? ???????;Tafraout El Mouloud;35.1;tafraoutelmouloud
???? ??????;Tizi Ntakoucht;34.9;tizintakoucht
??? ??? ????;Ait Abdallah;34.4;aitabdallah
???? ??????;Irigh N'tahala;34.3;irighntahala
??? ????;Ait Issafen;34.2;aitissafen
?????;Tindine;33.6;tindine
????? ????;Tnine Aday;32.5;tnineaday
???????;Tarsouat;32.3;tarsouat
???????;Tizoughrane;32.0;tizoughrane
???? ??????;Targua-Ntouchka;31.5;targuantouchka
???? ????;Sidi Mzal;31.5;sidimzal
??? ???????;Ida Ou Gougmar;31.4;idaougougmar
???????;Oualqadi;31.1;oualqadi
???? ????;Sidi Boaal;31.1;sidiboaal
??? ?????;Ait Ouafqa;31.0;aitouafqa
??? ??????;Ida-Ougnidif;30.9;idaougnidif
????;Adar;30.2;adar
??????;Tisfane;30.1;tisfane
????????;Toumliline;30.0;toumliline
?????? ??? ????;Arbaa Ait Ahmed;29.5;arbaaaitahmed
?????;Hilala;29.2;hilala
?????? ??????;Arbaa Rasmouka;29.1;arbaarasmouka
???????;Dcheira;29.0;dcheira
????;Anfeg;28.9;anfeg
???????;Souissi;28.8;souissi
???????;Toufelaazt;28.5;toufelaazt
??????;Nihit;28.2;nihit
??????;Imaouen;28.0;imaouen
??????;Tassegdelt;27.9;tassegdelt
???? ????;Afella Ighir;27.9;afellaighir
??????;Toughmart;27.8;toughmart
??????;Tadrart;27.6;tadrart
????????;Touarga;27.0;touarga
??? ???? ?????;Ait Aissa Ihahane;27.0;aitaissaihahane
????;Ouijjane;26.8;ouijjane
?????;Issafen;26.8;issafen
????;Amalou;26.7;amalou
??????? ??????;Gleibat El Foula;26.5;gleibatelfoula
????;Tizaghte;26.5;tizaghte
????;Hassan;26.3;hassan
?????;Ahfir;26.3;ahfir
?????????;Azaghar N'irs;26.1;azagharnirs
?????;Aziar;26.0;aziar
????? ??????;Agdal Riyad;25.9;agdalriyad
??????;Daoura;25.5;daoura
??? ????;Ait Mzal;25.4;aitmzal
????;Ibdar;25.4;ibdar
????;Anzi;25.3;anzi
???? ???????;Al Machouar-Stinia;25.1;elmachouarstinia
??? ??????;Bni Marghnine;25.0;bnimarghnine
?????;Assads;25.0;assads
???? ???? ??????;Sidi Ahmed Laaroussi;24.9;sidiahmedlaaroussi
????;Adrej;24.9;adrej
?????;Amtdi;24.9;amtdi
????;Anfa;24.8;anfa
??????;Tamanarte;24.7;tamanarte
??? ???????;Ain Erreggada;24.6;ainerreggada
?????? ??????;Echatea El Abied;24.5;echateaelabied
??????;Boutrouch;24.5;boutrouch
????– ??????;Méchouar-Kasba;24.5;mechouarkasba
??? ??????;Ait Ouadrim;24.4;aitouadrim
???? ????;Targa Wassay;24.4;targawassay
??????;Takoucht;24.3;takoucht
???? ??? ???? ?????????;Sidi Abdallah El Bouchouari;24.3;sidiabdallahelbouchouari
???????;Tifariti;24.1;tifariti
???????;Imouzzer;24.0;imouzzer
???? ???????;Tidsi-Nissendalene;24.0;tidsinissendalene
?????? ??????;Arbaa Sahel;23.9;arbaasahel
??????;Sbouya;23.9;sbouya
??????;Talilit;23.8;talilit
?????;Tighmi;23.8;tighmi
????????;Maârif;23.7;maarif
?????;Agdal;23.7;agdal
???? ?????;Sidi Belyout;23.5;sidibelyout
??? ???????;Mers-Sultan;23.4;merssultan
???? ???? ??????;Sidi Ahmed Ou Moussa;23.3;sidiahmedoumoussa
?????? ??????;El Maader El Kabir;23.1;elmaaderelkabir
??????;Aguinane;23.1;aguinane
????? ????? ???????;Oulad Daoud Zkhanine;23.0;ouleddaoudzkhanine
????;Figuig;23.0;figuig
?????;Idmine;23.0;idmine
????? ????;Tnine Aglou;22.9;tnineaglou
??????;Houderrane;22.8;houderrane
?????;Tataoute;22.8;tataoute
??? ?????;Ouad L'bour;22.7;ouadlbour
?????;Aqsri;22.7;aqsri
?????;Adaghas;22.6;adaghas
???? ???? ??????;Sidi H'mad Ou Hamed;22.5;sidihmadouhamed
??? ??????;Ras Tabouda;22.4;rastabouda
???? ???? ??????;Sidi Allal Lamsadder;22.3;sidiallallamsadder
??????;Al-Fida;22.2;elfida
????? ???????;Marrakech-Médina;22.2;marrakechmedina
??????;Tazaghine;22.1;tazaghine
???? ?? ??? ????;Sidi Bouabdelli;22.1;sidibouabdelli
???? ?????? ?? ???;Sidi H'saine Ou Ali;22.1;sidihsaineouali
???????;Bounaamane;22.0;bounaamane
????????;Tizgzaouine;22.0;tizgzaouine
?????;Tagmout;21.9;tagmout
???????;Boudinar;21.8;boudinar
????????;Harhoura;21.7;harhoura
??????;Irhzrane;21.6;irhzrane
??? ???????;Dar El Hamra;21.6;darelhamra
??????????;Al Barkanyene;21.6;elbarkanyene
???????;Tigzmerte;21.6;tigzmerte
???? ???????;Hay-Mohammadi;21.5;haymohammadi
???? ????;Sidi Amar;21.5;sidiamar
?????;Iferni;21.5;iferni
???;Tiqqi;21.5;tiqqi
?????? ??? ??? ????;Arbaa Ait Abdellah;21.5;arbaaaitabdellah
???????;Lamnizla;21.4;lamnizla
?????;Tiddas;21.3;tiddas
??? ????? ????;Bni Sidel Louta;21.3;bnisidellouta
????????;Mtarnagha;21.3;mtarnagha
?????;Labyar;21.3;labyar
?????;Tighirt;21.3;tighirt
??????;Bouzemmour;21.2;bouzemmour
????? ????;Tnine Amellou;21.2;tnineamellou
?????;Assaisse;21.2;assaisse
???????;Bigoudine;21.1;bigoudine
??? ?????;Ait Ouabelli;21.1;aitouabelli
??? ?????;Ibn Yacoub;21.1;ibnyacoub
?????? ???????;Asoukhour Assawda;21.0;asoukhourassawda
????;Tidzi;21.0;tidzi
???????;Tahelouante;21.0;tahelouante
??????;Rghioua;20.9;rghioua
??? ????? ?????;Bni Sidel Jbel;20.9;bnisideljbel
???? ??????;Sidi Bouhria;20.9;sidibouhria
???? ?????;Ida Ou Kazzou;20.9;idaoukazzou
??????;Tassousfi;20.9;tassousfi
??????;Tangarfa;20.8;tangarfa
??? ????;Ait Mait;20.7;aitmait
???? ???????;Sidi El Jazouli;20.7;sidieljazouli
??? ????;Ait Milk;20.7;aitmilk
???? ??????;Sidi M'bark;20.7;sidimbark
????????;Maaziz;20.6;maaziz
??????;Tafersit;20.6;tafersit
??? ???? ????;Ahl Sidi Lahcen;20.6;ahlsidilahcen
????? ??????;Oulad Mkoudou;20.6;ouledmkoudou
??? ?????;Rass Oumlil;20.6;rassoumlil
????;Aday;20.6;aday
??? ?????;Ait El Mane;20.5;aitelmane
??????;Imgrade;20.5;imgrade
?????;Assais;20.5;assais
????? ????;Taliouine Assaka;20.5;taliouineassaka
????? ???? ??????;Ifrane Atlas Saghir;20.5;ifraneatlassaghir
????? ??????;Oulad Boussaken;20.4;ouledboussaken
??? ????;Hel Merbaa;20.4;helmerbaa
??? ?? ??;Bir Tam-Tam;20.4;birtamtam
???? ?????;Sidi Boubker;20.4;sidiboubker
???????? ????? ????;Rdadna Oulad Malek;20.3;rdadnaouledmalek
????? ???????;Yacoub El Mansour;20.3;yacoubelmansour
??? ????;Ain Kaicher;20.3;ainkaicher
???? ??? ??????;Sidi Ali Bourakba;20.3;sidialibourakba
??? ????????;Dar El Kebdani;20.3;darelkebdani
??????;Arekmane;20.3;arekmane
??? ????;Ait Ikkou;20.2;aitikkou
??? ????;Ben-M'sick;20.1;benmsick
??? ????;Ait Ammar;20.0;aitammar
?????;Amejjaou;20.0;amejjaou
??????;Iksane;20.0;iksane
?????;El Borj;20.0;elborj
?????;Berkane;20.0;berkane
?????;El Faid;20.0;elfaid
????????;Tadighoust;20.0;tadighoust
?????;Bettana;19.9;bettana
????????;Tafoughalt;19.9;tafoughalt
?????? ??? ??????;Méchouar-Fès-El Jadid;19.8;mechouarfeseljadid
?????-????;Skoura M'daz;19.8;skouramdaz
???? ?????;Mechraa Hammadi;19.8;mechraahammadi
?????;Rislane;19.8;rislane
??????;El Menzel;19.7;elmenzel
?????;Aglif;19.7;aglif
????? ????? ?????;My Idriss Zerhoun;19.6;myidrisszerhoun
???? ??? ???????;Sidi Ali El Korati;19.6;sidialielkorati
???????;Imoulass;19.6;imoulass
???? ???? ??????;Sidi Ahmed Cherif;19.5;sidiahmedcherif
??? ?????;Ras-El-Ma;19.5;raselma
??????;Touissit;19.5;touissit
????? ?????;Oulad Boubker;19.4;ouledboubker
???? ????????;Sidi Boushab;19.4;sidiboushab
??? ?????;Ida-Ougoummad;19.4;idaougoummad
???????;Mzefroune;19.3;mzefroune
????;M'tal;19.3;mtal
???? ?????;Sidi Kaouki;19.3;sidikaouki
???? ???? ???????;Sidi Hmad Ou M'barek;19.3;sidihmadoumbarek
?????;Kouzemt;19.3;kouzemt
??? ???????;Sebt Ennabour;19.3;sebtennabour
??? ??? ????;Bni Abdellah;19.2;bniabdellah
???????;Reggada;19.2;reggada
???? ????;Gueltat Zemmour;19.1;gueltatzemmour
??? ?????? ???????;Ait Bouyahia El Hajjama;19.1;aitbouyahiaelhajjama
??????;El Hammam;19.1;elhammam
???????;Timoulay;19.1;timoulay
?????;Metrane;19.0;metrane
??????? ???????;Khemisset Chaouia;19.0;khemissetchaouia
??? ?????;Kaf El Ghar;19.0;kafelghar
?????;Aklim;19.0;aklim
???? ??? ???? ?? ????;Sidi Abdellah Ou Said;19.0;sidiabdellahousaid
???;Bzou;18.9;bzou
?????;Azlaf;18.9;azlaf
??? ???????;Fès-Médina;18.9;fesmedina
?????;El Mers;18.9;elmers
??????;Ouneine;18.9;ouneine
???? ??????;Sidi Hsaine;18.9;sidihsaine
????? ????? ?????;My Driss Aghbal;18.8;mydrissaghbal
??? ????;Bni Smir;18.8;bnismir
???????;Zeghanghane;18.8;zeghanghane
??????;Talzemt;18.8;talzemt
??? ?????;Imi-Mqourn;18.8;imimqourn
??? ?????;Ait Makhlouf;18.8;aitmakhlouf
????????;Khémisset;18.7;khemisset
???????;Taghzirt;18.7;taghzirt
??????;Rouadi;18.7;rouadi
???? ????;Tizi Ouasli;18.7;tiziouasli
???? ???? ??? ???? ?? ?????;Kasbat Sidi Abdellah Ben M'barek;18.7;kasbatsidiabdellahbenmbarek
????? ?????;Oulad Gouaouch;18.6;ouledgouaouch
?????;Guettaya;18.6;guettaya
??????;Matmata;18.6;matmata
??? ?????;Ait Boufoulen;18.6;aitboufoulen
??????;Taghjijt;18.6;taghjijt
????? ?????;Oulad Mtaa;18.6;ouledmtaa
????????;Mohammadia;18.5;mohammadia
?? ?????? ?? ??? ???????;Si Hsaien Ben Abderrahmane;18.5;sihsaienbenabderrahmane
???????;Boujniba;18.5;boujniba
???????;El Ksiba;18.5;elksiba
????????;Zrarda;18.5;zrarda
????;Oujda;18.5;oujda
?????;Gafait;18.5;gafait
????;Aguerd;18.5;aguerd
???? ??? ??????;Sidi Abdelmoumen;18.5;sidiabdelmoumen
??????;Tioughza;18.5;tioughza
?????;Lamssid;18.4;lamssid
???? ???????;Sidi El Rhandour;18.4;sidielrhandour
????????;Timoulilt;18.4;timoulilt
????? ?????;Zaouiat Cheikh;18.4;zaouiatcheikh
??????;Temsamane;18.4;temsamane
?????;Aghbal;18.4;aghbal
??????;Mestegmer;18.4;mestegmer
??? ?????;Ras Asfour;18.4;rasasfour
???? ??? ??????;Sidi Abdeljalil;18.4;sidiabdeljalil
????;Takate;18.4;takate
????;Fask;18.4;fask
??? ????;Ain Orma;18.3;ainorma
??? ??????;Bni Boufrah;18.3;bniboufrah
???????;Taifa;18.3;taifa
????????;Chouihia;18.3;chouihia
???????;Naima;18.3;naima
???? ???? ??????;Sidi Ahmed Essayeh;18.3;sidiahmedessayeh
??????;Bouabout;18.3;bouabout
??????;Bounrar;18.3;bounrar
????;Mesti;18.3;mesti
?????;Azrar;18.3;azrar
?????;Sbata;18.2;sbata
???? ??? ??????;Jemaat Moul Blad;18.2;jemaatmoulblad
??? ???;Bni Quolla;18.2;bniquolla
????? ?????;Moulay Bouchta;18.2;moulaybouchta
??????;M'hajer;18.2;mhajer
????????;Tafraouten;18.2;tafraouten
???? ??? ???? ?? ?????;Sidi Abdellah Ou Belaid;18.2;sidiabdellahoubelaid
????;Ghassate;18.2;ghassate
?????;Aoufous;18.2;aoufous
??????;Masmouda;18.1;masmouda
????????;Sfassif;18.1;sfassif
?????;Khalfia;18.1;khalfia
??? ???????;Bin El Ouidane;18.1;binelouidane
??? ????;Bni Bataou;18.1;bnibataou
????;Madagh;18.1;madagh
??? ????;Ait Said;18.1;aitsaid
???? ?????;Imi-N'tlit;18.1;imintlit
???????;Ichamraren;18.1;ichamraren
????;Tiout;18.1;tiout
?????;Tizguine;18.1;tizguine
??????;Amghras;18.1;amghras
???????;Taouyalte;18.1;taouyalte
??????;Askaouen;18.1;askaouen
??? ?????;Akka-Ighane;18.1;akkaighane
??????;Tsaft;18.0;tsaft
??????;Timlilt;18.0;timlilt
??? ?????;Ait Erkha;18.0;aiterkha
???????;Zagmouzen;18.0;zagmouzen
????;Siroua;18.0;siroua
??????;Ouisselsate;18.0;ouisselsate
??????;M'garto;17.9;mgarto
???????;Rommani;17.9;rommani
??? ????;Bir Mezoui;17.9;birmezoui
???????;Chougrane;17.9;chougrane
????????;Bhalil;17.9;bhalil
???????;Smia;17.9;smia
???????;Lahsinate;17.9;lahsinate
????????;Timezgadiouine;17.9;timezgadiouine
??????;Argana;17.9;argana
??? ????;Bni Arouss;17.8;bniarouss
????? ????;Ouled Cebbah;17.8;ouledcebbah
???? ?????;Ribate El Kheir;17.8;ribateelkheir
??????;Taghazout;17.8;taghazout
????? ??????;Toudgha El Oulia;17.8;toudghaeloulia
??? ??????;Bab Lamrissa;17.7;bablamrissa
???? ????;Sidi Kacem;17.7;sidikacem
????? ?????;Moulay Bouazza;17.7;moulaybouazza
??????;Tachraft;17.7;tachraft
??? ?????;Bejaad;17.7;bejaad
??? ?????;Ait Ishaq;17.7;aitishaq
???????;Iaazzanene;17.7;iaazzanene
??? ?????;Ain Leuh;17.7;ainleuh
???????;Boughriba;17.7;boughriba
???????;Laatamna;17.7;laatamna
???? ????;Sidi Ghaneme;17.7;sidighaneme
???????;Chbika;17.6;chbika
?? ?????;Ben Maachou;17.6;benmaachou
??????;Mzoura;17.6;mzoura
??? ??? ???;Sebt Ait Rahou;17.6;sebtaitrahou
????;Hattane;17.6;hattane
????;Semguet;17.6;semguet
???? ?????;Sidi Bousber;17.6;sidibousber
??????;Brarha;17.6;brarha
??? ?????;Bni Frassen;17.6;bnifrassen
???????;Jbarna;17.6;jbarna
??? ????;Bni Chiker;17.6;bnichiker
?????;Tahla;17.6;tahla
??? ??????;Ait Saghrouchen;17.6;aitsaghrouchen
?????;Asrir;17.6;asrir
?????? ????;Agadir Melloul;17.6;agadirmelloul
???????;Souani;17.5;souani
????????;El Youssoufia;17.5;elyoussoufia
??? ??????;Ait Belkacem;17.5;aitbelkacem
??? ?????;Ait Siberne;17.5;aitsiberne
?????;Isseksi;17.5;isseksi
???????;Brikcha;17.5;brikcha
?????;Kissane;17.5;kissane
???????;Ourtzarh;17.5;ourtzarh
???????;Imrabten;17.5;imrabten
????;Afsou;17.5;afsou
?????;Azzaba;17.5;azzaba
???????;Tafajight;17.5;tafajight
?????;Rahhala;17.5;rahhala
?????;Aferkat;17.5;aferkat
??????;Imgdal;17.5;imgdal
??????;Tisrasse;17.5;tisrasse
???? ????????;Sidi Bernoussi;17.4;sidibernoussi
????? ?????;Ouled Yaich;17.4;ouledyaich
???? ?????;Sidi Redouane;17.4;sidiredouane
????? ??? ??????;Moulay Abdelkrim;17.4;moulayabdelkrim
???????;El Bibane;17.4;elbibane
????;Galaz;17.4;galaz
???????;Tazarine;17.4;tazarine
??? ????;Ait Bazza;17.4;aitbazza
??????;Bizdad;17.4;bizdad
?????????;Talmakante;17.4;talmakante
??????;Tizounine;17.4;tizounine
???? ????;Sidi Ghanem;17.3;sidighanem
????????;Maadna;17.3;maadna
???????;Ouaouizeght;17.3;ouaouizeght
?????;Ajdir;17.3;ajdir
?????;Irherm;17.3;irherm
??? ??????;Dar Jamaa;17.3;darjamaa
???? ?????;Sidi Badhaj;17.3;sidibadhaj
???? ???????;Oued El Makhazine;17.2;ouedelmakhazine
??? ????;Bni Hilal;17.2;bnihilal
?????;Tamda;17.2;tamda
???? ?????;Sidi Hammadi;17.2;sidihammadi
?????;Senada;17.2;senada
??????;Ouardana;17.2;ouardana
?????;Oualili;17.2;oualili
?????;Meknès;17.2;meknes
??????;Boulemane;17.2;boulemane
??? ????;Bab Boudir;17.2;babboudir
????;Zaio;17.2;zaio
????????;Saidia;17.2;saidia
????;Massa;17.2;massa
??????;Chaibate;17.1;chaibate
????? ????;Oulad Said;17.1;ouledsaid
???? ???? ????;Khemis Sidi Yahya;17.1;khemissidiyahya
??? ????;Ait Ichou;17.1;aitichou
??????;Boukhrisse;17.1;boukhrisse
??? ?????;Bni Zrantel;17.1;bnizrantel
????? ??? ?????;Fennassa Bab El Hit;17.1;fennassababelhit
??? ????;Bni Oulid;17.1;bnioulid
??? ??????;Ain Timguenai;17.1;aintimguenai
??????;El Kbab;17.1;elkbab
????? ??? ????;Oulad Ali Youssef;17.1;ouledaliyoussef
????;Debdou;17.1;debdou
????????;Mzilate;17.1;mzilate
??????;Amgala;17.0;amgala
??? ?????;Aïn-Sebaâ;17.0;ainsebaa
???????;Laamria;17.0;laamria
??? ??????;Ait Ouribel;17.0;aitouribel
??? ?????;Ait Mimoune;17.0;aitmimoune
???????;Bouqachmir;17.0;bouqachmir
??? ?? ?????;Ait Oum El Bekht;17.0;aitoumelbekht
??? ???? ???????;Bni Ounjel Tafraout;17.0;bniounjeltafraout
???????;Al Hoceima;17.0;elhoceima
????;Sefrou;17.0;sefrou
??????;Serghina;17.0;serghina
????;Taza;17.0;taza
?????;Fezouane;17.0;fezouane
????? ????????;Moulay Bouzarqtoune;17.0;moulaybouzarqtoune
??????;Tazemmourt;17.0;tazemmourt
??????;Ijoukak;17.0;ijoukak
?????;Assaki;17.0;assaki
??????;Goulmima;17.0;goulmima
?????? ?????;Moualine El Oued;16.9;moualineeloued
????? ??????;Zaouiat Lakouacem;16.9;zaouiatlakouacem
???? ????;Sidi Jaber;16.9;sidijaber
??? ????;Ait Mazigh;16.9;aitmazigh
?????;Teroual;16.9;teroual
?????;Midar;16.9;midar
??? ?? ?????;Ait Ben Yacoub;16.9;aitbenyacoub
?????? ???????;Meknassa Al Gharbia;16.9;meknassaelgharbia
??? ????;Bni Khaled;16.9;bnikhaled
???? ?????;Ida Ou Guelloul;16.9;idaouguelloul
?????? ??????;Bouabout Amdlane;16.9;bouaboutamdlane
???????;Amskroud;16.9;amskroud
?????;Gueliz;16.9;gueliz
????????;Youssoufia;16.8;youssoufia
??????;Lahouaza;16.8;lahouaza
???????;El Foqra;16.8;elfoqra
???????;Ijermaouas;16.8;ijermaouas
?????;Tamedit;16.8;tamedit
??????-???? ????;El Aioun Sidi Mellouk;16.8;elaiounsidimellouk
?????;Jerada;16.8;jerada
???????;Targante;16.8;targante
??????;Imsouane;16.8;imsouane
??????;Tamaloukte;16.8;tamaloukte
????;Arazane;16.8;arazane
??? ?????;Imi-N'fast;16.8;iminfast
???? ????;Sidi Aissa;16.7;sidiaissa
????;Mettouh;16.7;mettouh
??? ??????;Bni Tsiriss;16.7;bnitsiriss
????? ??????;Oulad Sghir;16.7;ouledsghir
?????;Marchouch;16.7;marchouch
????????;M'fassis;16.7;mfassis
?? ??????;Foum Jemaa;16.7;foumjemaa
????;Tisqi;16.7;tisqi
??????;Afourar;16.7;afourar
??????;Taghzout;16.7;taghzout
??? ?????;Ain Maatouf;16.7;ainmaatouf
???????;Traiba;16.7;traiba
?????? ???????;Meknassa Acharqia;16.7;meknassaacharqia
????? ??? ????;N'zalat Bni Amar;16.7;nzalatbniamar
?????;Itzer;16.7;itzer
???????;Mestferki;16.7;mestferki
??????;Ounagha;16.7;ounagha
???? ????? ???????;Sidi M'hamed Ou Marzouq;16.7;sidimhamedoumarzouq
????????;Tafingoult;16.7;tafingoult
????? ???? ???????;Zaouiat Sidi Ben Hamdoun;16.6;zaouiatsidibenhamdoun
??????;Khouribga;16.6;khouribga
??? ?????;Ait Ouaarda;16.6;aitouaarda
???? ?????;Kasba Tadla;16.6;kasbatadla
??????;Zghira;16.6;zghira
?????;Ajdir;16.6;ajdir
??? ??????;Ain Zohra;16.6;ainzohra
?????? ?????;Aguelmam Azegza;16.6;aguelmamazegza
??????;M'ramer;16.6;mramer
???????;Ezzaouite;16.6;ezzaouite
?????;Iguidi;16.6;iguidi
????? ?????;Ouled Zidane;16.5;ouledzidane
????? ???? ??? ?? ????;Oulad Sidi Ali Ben Youssef;16.5;ouledsidialibenyoussef
??????;Laaounate;16.5;laaounate
?????;Gdana;16.5;gdana
??????;El Menzeh;16.5;elmenzeh
???????;Boulanouare;16.5;boulanouare
????? ????;Ouled Zmam;16.5;ouledzmam
?????;Tabia;16.5;tabia
??????;Bradia;16.5;bradia
???????;Rouached;16.5;rouached
???????;Moqrissat;16.5;moqrissat
??? ??????;Ain Mediouna;16.5;ainmediouna
?????;Bouhlou;16.5;bouhlou
??????;Maghraoua;16.5;maghraoua
????????;Mouarid;16.5;mouarid
???????;Touama;16.5;touama
??? ???????;Ain Chouater;16.5;ainchouater
????;Safi;16.4;safi
??? ????;Aïn-Chock;16.4;ainchock
????;Rima;16.4;rima
????????;Brachoua;16.4;brachoua
????? ???? ?????;Ouled Said Loued;16.4;ouledsaidloued
????;Ouezzane;16.4;ouezzane
????;Azrou;16.4;azrou
?????;Kerrouchen;16.4;kerrouchen
???? ??????-???????;Sidi Slimane Echcharaa;16.4;sidislimaneechcharaa
??????;Guenfouda;16.4;guenfouda
?????;Tamaguert;16.4;tamaguert
????;Tatoft;16.3;tatoft
??? ???;Bni Oual;16.3;bnioual
??????;Khenifra;16.3;khenifra
??? ?????;Oued Ifrane;16.3;ouedifrane
??? ?????;Ain Sfa;16.3;ainsfa
????????;Korimate;16.3;korimate
?? ?????;Fam El Hisn;16.3;famelhisn
??? ?????;Ahl Tifnoute;16.3;ahltifnoute
?????;Telouet;16.3;telouet
??? ????? ???????;Ras El Ain Chaouia;16.2;raselainchaouia
??? ????;Ain Blal;16.2;ainblal
?????;Lagfaf;16.2;lagfaf
???? ??;Oued Zem;16.2;ouedzem
???????;Tifarouine;16.2;tifarouine
?????;M'rirt;16.2;mrirt
??????;Aquermoud;16.2;aquermoud
?????;Tigouga;16.2;tigouga
????;Tlite;16.2;tlite
????;Lahdar;16.1;lahdar
??? ??????;Ain Sbit;16.1;ainsbit
????? ?????;Oulad Ftata;16.1;ouledftata
????? ????;Oulad Azzouz;16.1;ouledazzouz
?????? ?? ????;Fquih Ben Salah;16.1;fquihbensalah
??? ?????;Bni Hadifa;16.1;bnihadifa
??? ???? ????;Ait Youssef Ou Ali;16.1;aityoussefouali
????? ?????;Oulad Amghar;16.1;ouledamghar
???????;El Gouzate;16.1;elgouzate
??? ??????;Bab Marzouka;16.1;babmarzouka
??????;Atouabet;16.1;atouabet
????????;M'khalif;16.1;mkhalif
