Libelle Arabe;commune;taux_vieillesse;commune_norm
???? ??????;Sidi Laaroussi;16.1;sidilaaroussi
??? ?????;Ida Ou Moumen;16.1;idaoumoumen
??? ?????;Ahl Ramel;16.1;ahlramel
???? ???? ?? ???;Sidi Youssef Ben Ali;16.1;sidiyoussefbenali
?????;Azgour;16.1;azgour
???? ?????;Tizi N'test;16.1;tizintest
????;Adis;16.1;adis
????? ?????;Aquouass Briech;16.0;aquouassbriech
?????;Ahlaf;16.0;ahlaf
???????;Tabriquet;16.0;tabriquet
????? ????;Oulad Fennane;16.0;ouledfennane
??????;Tazroute;16.0;tazroute
??????;Tazouta;16.0;tazouta
????? ??????;Tidili Mesfioua;16.0;tidilimesfioua
?? ???????;Oum El Guerdane;16.0;oumelguerdane
???????;Lgharbia;15.9;lgharbia
????? ?????;Saniat Berguig;15.9;saniatberguig
????????;Ezzhiliga;15.9;ezzhiliga
????? ?????;Ouled M'hamed;15.9;ouledmhamed
??????;Taounza;15.9;taounza
?????;Ouannana;15.9;ouannana
????;Oudka;15.9;oudka
????? ??????;Rbaa El Fouki;15.9;rbaaelfouki
???????;Trougout;15.9;trougout
?????;Toulal;15.9;toulal
???????;Tigrigra;15.9;tigrigra
?? ??????;Oum Rabia;15.9;oumrabia
?????;Tiouli;15.9;tiouli
?? ?????;Had Dra;15.9;haddra
???? ???? ????????;Sidi Aissa Regragui;15.9;sidiaissaregragui
???;Mejji;15.9;mejji
????????;Talgjount;15.9;talgjount
???? ????;Sidi Ouassay;15.9;sidiouassay
??? ??????;Ida Ou Gailal;15.9;idaougailal
???? ???? ?? ??? ????;Sidi Ahmed Ou Abdallah;15.9;sidiahmedouabdallah
?????;Gmassa;15.9;gmassa
???? ??????;Talat N'yaaqoub;15.9;talatnyaaqoub
??? ????;Ait Zineb;15.9;aitzineb
?? ???????;Had Al Gharbia;15.8;hadelgharbia
???? ?????;Sidi Othmane;15.8;sidiothmane
????? ?? ?????;Oulad Si Bouhya;15.8;ouledsibouhya
???????;Ihaddadene;15.8;ihaddadene
??? ???????;Bni Bouifrour;15.8;bnibouifrour
??? ??????;Ain Chair;15.8;ainchair
??????;Meskala;15.8;meskala
????????;Taouloukoult;15.8;taouloukoult
?????;Anougal;15.8;anougal
??????;Ouazguita;15.8;ouazguita
??? ????;Sour El Aaz;15.8;sourelaaz
???????;Amerzgane;15.8;amerzgane
??????;Iznaguen;15.8;iznaguen
??????;Boukraa;15.7;boukraa
?????;Assilah;15.7;assilah
?????;Ayacha;15.7;ayacha
????;Asjen;15.7;asjen
???????;Boulaouane;15.7;boulaouane
???? ?????;Sidi Mansour;15.7;sidimansour
?????;Jahjouh;15.7;jahjouh
??? ????;Bni Ykhlef;15.7;bniykhlef
??? ????;Ouaoumana;15.7;ouaoumana
???????;Zrizer;15.7;zrizer
???????;Laaouinate;15.7;laaouinate
??? ????;Bni Drar;15.7;bnidrar
???????;Lagdadra;15.7;lagdadra
???? ?????;Assif El Mal;15.7;assifelmal
???? ????;Sidi Ifni;15.7;sidiifni
??????;Touizgui;15.7;touizgui
??????;Amizmiz;15.7;amizmiz
????? ?????;Ouled Salmane;15.6;ouledsalmane
?????;Azemmour;15.6;azemmour
????????;Ziaida;15.6;ziaida
??????;El Gara;15.6;elgara
????? ??? ???????;Oulad Ali Toualaa;15.6;ouledalitoualaa
??? ??????;Ait Ouikhalfen;15.6;aitouikhalfen
??????;Rfala;15.6;rfala
??? ???????;Had Bouhssoussen;15.6;hadbouhssoussen
??? ????;Ait Kamra;15.6;aitkamra
??????? ????????;Gzenaya Al Janoubia;15.6;gzenayaeljanoubia
??????;Msila;15.6;msila
???????;Nador;15.6;nador
???????;Essaouira;15.6;essaouira
?????;Nfifa;15.6;nfifa
????;Ighil;15.6;ighil
????? ???????;Moulay Brahim;15.6;moulaybrahim
??????;Al Kharroub;15.5;elkharroub
??? ???????-???? ???????;Ain Johra-Sidi Boukhalkhal;15.5;ainjohrasidiboukhalkhal
??? ??????;Ain Jemaa;15.5;ainjemaa
??????;Nekkour;15.5;nekkour
????;Lehri;15.5;lehri
??????;Amellagou;15.5;amellagou
??????;Lebkhata;15.5;lebkhata
????? ?? ??????;Zaouiat Ben Hmida;15.5;zaouiatbenhmida
?????;Kechoula;15.5;kechoula
?????;Tafedna;15.5;tafedna
???? ?????;Machraa El Ain;15.5;machraaelain
??????;El Ghiate;15.4;elghiate
????? ??????;Ksar El Kebir;15.4;ksarelkebir
????? ???? ????;Oulad Yahya Louta;15.4;ouledyahyalouta
??? ???????;Oued Naanaa;15.4;ouednaanaa
??? ?????;Bir Ennasr;15.4;birennasr
???? ??????;Sidi Slimane;15.4;sidislimane
????? ????;Ouled Ayad;15.4;ouledayad
??? ?????;Thar Es-Souk;15.4;tharessouk
?????? ???????;Arbaa Taourirt;15.4;arbaataourirt
?? ?????;Ben Taieb;15.4;bentaieb
??????? ??????;Imouzzer Marmoucha;15.4;imouzzermarmoucha
????????;Tighassaline;15.4;tighassaline
?????;Agoudim;15.4;agoudim
??? ?????;Ain Lehjer;15.4;ainlehjer
?????;Toubkal;15.4;toubkal
?????;Khouzama;15.4;khouzama
????? ??????;Toudgha Essoufla;15.4;toudghaessoufla
???????;Laagagcha;15.3;laagagcha
???? ???????;Khmis Ksiba;15.3;khmisksiba
???????;Chbanate;15.3;chbanate
??? ????;Béni Mellal;15.3;benimellal
??????;Bouadel;15.3;bouadel
??? ?????;Ait Saadelli;15.3;aitsaadelli
??????;Tanourdi;15.3;tanourdi
????;Assoul;15.3;assoul
???? ???????;Sidi Boulaalam;15.3;sidiboulaalam
????????;Saidate;15.3;saidate
??? ???????;Ain Tazitounte;15.3;aintazitounte
?????;Aghbar;15.3;aghbar
?????;Tagante;15.3;tagante
?????;Tazart;15.3;tazart
??????;Ouzioua;15.3;ouzioua
?????;Imlil;15.3;imlil
????? ??????;Gheris Es-Soufli;15.3;gherisessoufli
?????? ????? ????;Foqra Oulad Aameur;15.2;foqraouledaameur
????? ????;Oulad M'rah;15.2;ouledmrah
???????;Lakhzazra;15.2;lakhzazra
????????;Kénitra;15.2;kenitra
??? ????;Bni Oukil;15.2;bnioukil
???? ?????;Kasbat Troch;15.2;kasbattroch
????? ??????;Almis Marmoucha;15.2;almismarmoucha
???? ???????;Sidi Boulenouar;15.2;sidiboulenouar
???? ????;Afalla Issen;15.2;afallaissen
????????;Imilmaiss;15.2;imilmaiss
???????;Jouala;15.2;jouala
???? ????;Sidi Rahal;15.2;sidirahal
???? ??????;Ighrem N'ougdal;15.2;ighremnougdal
?????;M'ssici;15.2;mssici
????;Chahda;15.1;chahda
??????;Bouguedra;15.1;bouguedra
?????? ???????;Sahel Chamali;15.1;sahelchamali
???? ??? ??????;Sidi Abdelkrim;15.1;sidiabdelkrim
???? ??????;Sidi Boumehdi;15.1;sidiboumehdi
????? ????? ???????;Oulad Bouali Nouaja;15.1;ouledboualinouaja
???????;Lagnadiz;15.1;lagnadiz
??? ?????;Bni Chegdale;15.1;bnichegdale
???? ???? ?? ???;Sidi Aissa Ben Ali;15.1;sidiaissabenali
????? ????;Ouled Gnaou;15.1;ouledgnaou
??????;Izemmouren;15.1;izemmouren
???????;Mazguitam;15.1;mazguitam
???? ?????;Hassi-Berkane;15.1;hassiberkane
?????? ??????;Aghbalou Aqorar;15.1;aghbalouaqorar
?????;Amouguer;15.1;amouguer
??????;Bsara;15.1;bsara
??? ?????;Ahl Oued Za;15.1;ahlouedza
??????;Idelsane;15.1;idelsane
????;Afra;15.1;afra
??? ?????? ????;Souk Lakhmis Dades;15.1;souklakhmisdades
???;Akka;15.1;akka
?????;Ktaoua;15.1;ktaoua
??????;Labkhati;15.0;labkhati
??????;Lamsabih;15.0;lamsabih
??????;Zaaroura;15.0;zaaroura
??? ????;Ait Malek;15.0;aitmalek
???????;Laghoualem;15.0;laghoualem
??????;Zirara;15.0;zirara
????? ??????;Oulad Boughadi;15.0;ouledboughadi
??????;Krifate;15.0;krifate
????? ???????;Ouled Bourahmoune;15.0;ouledbourahmoune
????? ???? ?? ?????;Moulay Aissa Ben Driss;15.0;moulayaissabendriss
????? ??????;Ouled M'barek;15.0;ouledmbarek
???? ????;Sidi Hcine;15.0;sidihcine
???????;Tafrant;15.0;tafrant
??? ?????;Ras El Oued;15.0;raseloued
??????;Talmest;15.0;talmest
???????;Tafraout;15.0;tafraout
???? ??????;Sidi Ouaaziz;15.0;sidiouaaziz
????? ??????;Ferkla Es-Soufla;15.0;ferklaessoufla
??? ??????;Ait Boudaoud;15.0;aitboudaoud
???????;Lamaachate;14.9;lamaachate
????? ?????;Oulad Sbaita;14.9;ouledsbaita
?????;Lmechrek;14.9;lmechrek
????? ?????;Oulad Massaoud;14.9;ouledmassaoud
?????;Témara;14.9;temara
??? ????-??? ??????;Ain Karma-Oued Rommane;14.9;ainkarmaouedrommane
??????;Oulmes;14.9;oulmes
????? ????;Oulad Aissa;14.9;ouledaissa
??? ???;Bni Lent;14.9;bnilent
???????;Mtalssa;14.9;mtalssa
??? ????;Ait Yaazem;14.9;aityaazem
?????????;El Mariniyine;14.9;elmariniyine
???? ????;Tizi N'ghachou;14.9;tizinghachou
???? ????? ????????;Sidi Bouzid Arragragui;14.9;sidibouzidarragragui
??? ?????;Mirleft;14.9;mirleft
?????;Tissint;14.9;tissint
???????;El Gantour;14.8;elgantour
???????;Boujedyane;14.8;boujedyane
????? ?????;Oulad Hamdane;14.8;ouledhamdane
???? ??? ??????;Sidi Abderrazak;14.8;sidiabderrazak
??? ????;Bni A'yat;14.8;bniainyat
???? ????? ???????;Moha Ou Hammou Zayani;14.8;mohaouhammouzayani
????;Bourd;14.8;bourd
???????;Bouchfaa;14.8;bouchfaa
??? ??? ????;Ain Bni Mathar;14.8;ainbnimathar
???? ????;Sidi Ghanem;14.8;sidighanem
??????;Lamhara;14.8;lamhara
????? ??????;Gheris El Ouloui;14.8;gheriselouloui
??? ????;Sebt Saiss;14.7;sebtsaiss
?? ?????;Khatazakane;14.7;khatazakane
????????;El Gouraani;14.7;elgouraani
???????;Al Manzla;14.7;elmanzla
???? ???????;Mechraa Bel Ksiri;14.7;mechraabelksiri
????? ????;Moulay Rachid;14.7;moulayrachid
????? ???? ??????;Oulad Aamer Tizmarine;14.7;ouledaamertizmarine
???? ??????;M'qam Tolba;14.7;mqamtolba
???? ?????;Sidi Lamine;14.7;sidilamine
????? ????;Oulad Daoud;14.7;ouleddaoud
??????;Tainaste;14.7;tainaste
??? ????;Bni Ftah;14.7;bniftah
???????;Tiztoutine;14.7;tiztoutine
???????;El Orjane;14.7;elorjane
?? ????;Ben Khlil;14.7;benkhlil
?????;Tinzart;14.7;tinzart
????? ???;Oulad Abbou;14.6;ouledabbou
??? ??????;Ras Ijerri;14.6;rasijerri
??????;Aguelmous;14.6;aguelmous
??? ?????;Ain Beida;14.6;ainbeida
??????;Al Aaroui;14.6;elaaroui
???? ???? ?? ????;Sidi Youssef Ben Ahmed;14.6;sidiyoussefbenahmed
????? ???????;Ghiata Al Gharbia;14.6;ghiataelgharbia
???? ????;Ida Ou Aazza;14.6;idaouaazza
??????;Tansifte;14.6;tansifte
?????;Er-Rteb;14.6;errteb
???????;Es-Sfalat;14.6;essfalat
???? ??????;Oued Naam;14.6;ouednaam
??????;Shoul;14.5;shoul
?????;Tétouan;14.5;tetouan
????;Zoumi;14.5;zoumi
????;Louta;14.5;louta
????? ??????;Oulad Bourima;14.5;ouledbourima
??????;El Hajeb;14.5;elhajeb
????? ??????;Oulad Chrif;14.5;ouledchrif
??????;Tancherfi;14.5;tancherfi
???????;Irohalen;14.5;irohalen
?????;Tanant;14.5;tanant
????????;Afella N'dra;14.5;afellandra
??????;Mezguita;14.5;mezguita
??? ??????;Moul El Bergui;14.4;moulelbergui
?? ????;Ben Ahmed;14.4;benahmed
????? ????;Oulad Amer;14.4;ouledamer
????? ???? ?????;Oulad Fares El Halla;14.4;ouledfareselhalla
?????;Naour;14.4;naour
??? ????;Bni Snous;14.4;bnisnous
?????;Aknoul;14.4;aknoul
??? ?????;Bni Ansar;14.4;bniansar
????;Saiss;14.4;saiss
?? ????;Ben Smim;14.4;bensmim
??? ??????;Oued Jemaa;14.4;ouedjemaa
??? ????;Ain Legdah;14.4;ainlegdah
??????;Aghbala;14.4;aghbala
?????;Midelt;14.4;midelt
???? ?????;Sidi Boutayeb;14.4;sidiboutayeb
???? ????;Sidi Lahsen;14.4;sidilahsen
???????;El Hanchane;14.4;elhanchane
????????;Taroudannt;14.4;taroudannt
????? ????;Louad Lakhdar;14.4;louadlakhdar
?????;Aousserd;14.3;aousserd
???;Nagga;14.3;nagga
??????;Mrizigue;14.3;mrizigue
????????;Errafiaya;14.3;errafiaya
?????;Tiflet;14.3;tiflet
??? ??????;Had Boumoussa;14.3;hadboumoussa
?????;Tabouda;14.3;tabouda
???????;Lamjaara;14.3;lamjaara
???? ???? ??? ?????;Sidi Yahia Bni Zeroual;14.3;sidiyahiabnizeroual
?????????;Mrhassiyine;14.3;mrhassiyine
?????;Ifrane;14.3;ifrane
??????;Galdamane;14.3;galdamane
???? ????-??????;Sidi Moussa Lemhaya;14.3;sidimoussalemhaya
????? ??????;Oulad M'rabet;14.3;ouledmrabet
????? ?????;Oulad Moumna;14.3;ouledmoumna
????? ???;Oulad Dahou;14.3;ouleddahou
???????;Lagfifat;14.3;lagfifat
??????;Ouirgane;14.3;ouirgane
??? ????? ????? ??????;Ait Sedrate Jebel Soufla;14.3;aitsedratejebelsoufla
??? ?? ????;Dar Si Aissa;14.2;darsiaissa
???? ??? ????;Koudiat Bni Dghough;14.2;koudiatbnidghough
????????;Benslimane;14.2;benslimane
????????;Braksa;14.2;braksa
????? ????;Ouled Youssef;14.2;ouledyoussef
??? ???????;Melg El Ouidane;14.2;melgelouidane
???????;Taourirt;14.2;taourirt
?????;Abadou;14.2;abadou
????;Tifni;14.2;tifni
??????;Bouhmame;14.1;bouhmame
??? ??????;Dar Chaoui;14.1;darchaoui
??? ????;Bni Harchen;14.1;bniharchen
??? ????;Had Kourt;14.1;hadkourt
????????;Laghnimyine;14.1;laghnimyine
??? ????;Bni Khloug;14.1;bnikhloug
????;Mniaa;14.1;mniaa
??????;Belyounech;14.1;belyounech
??? ???????;Ain Dfali;14.1;aindfali
??????;Mezraoua;14.1;mezraoua
??? ????;Sabaa Aiyoun;14.1;sabaaaiyoun
???? ??????;Sidi El Makhfi;14.1;sidielmakhfi
???? ??????;Outabouabane;14.1;outabouabane
????????;Lakhnafif;14.1;lakhnafif
??????;Abaynou;14.1;abaynou
??? ???????;Lalla Takarkoust;14.1;lallatakarkoust
????? ???????;Zemrane Charqia;14.1;zemranecharqia
??????;Toundoute;14.1;toundoute
?? ????;Foum Zguid;14.1;foumzguid
????????;Laghnadra;14.0;laghnadra
???? ???? ?? ????;Sidi Mohammed Ben Rahal;14.0;sidimohammedbenrahal
???? ???????;Sidi El Aidi;14.0;sidielaidi
????;Guisser;14.0;guisser
??????;Meskoura;14.0;meskoura
??? ?? ???????;Dar Oum Soltane;14.0;daroumsoltane
???? ??????;Majmaa Tolba;14.0;majmaatolba
????? ????;Ouled Nacer;14.0;oulednacer
??? ????;Bni Hassane;14.0;bnihassane
??????;Agourai;14.0;agourai
???? ???? ??????;Sidi Yahya Ou Saad;14.0;sidiyahyaousaad
??? ????;Ait Yahya;14.0;aityahya
??????;Tiznit;14.0;tiznit
?????? ?????;Laqsabi Tagoust;14.0;laqsabitagoust
????;Haouza;14.0;haouza
????? ??? ?????;Skoura Ahl El Oust;14.0;skouraahleloust
??? ???;Ait Youl;14.0;aityoul
?????;Tah;13.9;tah
????????;El Hagounia;13.9;elhagounia
???????;El Jadida;13.9;eljadida
???? ????? ?????;Sidi M'hamed Akhdim;13.9;sidimhamedakhdim
??? ??????;Bir Taleb;13.9;birtaleb
???? ??????;Hay-Hassani;13.9;hayhassani
?????;Mellila;13.9;mellila
??? ???;Ait Hammou;13.9;aithammou
??? ?????;Bab Tiouka;13.9;babtiouka
??? ??? ?????;Dar Ould Zidouh;13.9;darouldzidouh
??? ???????;Dir El Ksiba;13.9;direlksiba
???????;Rhouazi;13.9;rhouazi
????? ??????;Oulad Zbair;13.9;ouledzbair
?????;Enjil;13.9;enjil
????;Riah;13.8;riah
????;Settat;13.8;settat
???? ??????;Sidi Dahbi;13.8;sididahbi
????? ?????;Oulad Msabbel;13.8;ouledmsabbel
??????;Eddachra;13.8;eddachra
?? ???;Oumazza;13.8;oumazza
?????;Zaggota;13.8;zaggota
??? ?????;Ait Naamane;13.8;aitnaamane
?????;Ouizeght;13.8;ouizeght
??????;M'zouda;13.8;mzouda
??????;Adassil;13.8;adassil
??? ????;Bni Garfett;13.7;bnigarfett
????? ??? ??????;Moulay Abdelkader;13.7;moulayabdelkader
???? ???? ?? ???;Sidi Moussa Ben Ali;13.7;sidimoussabenali
??? ???????-?????;Ain Dorbane-Lahlaf;13.7;aindorbanelahlaf
????? ????? ?????;Oulad Bouali Loued;13.7;ouledboualiloued
????????;Tamchachate;13.7;tamchachate
??? ????? ????? ?????;Souk Sebt Ouled Nemma;13.7;souksebtoulednemma
??????;Tanougha;13.7;tanougha
??? ?????;Bni Tadjite;13.7;bnitadjite
?????? ??????;Timzguida-Ouftas;13.7;timzguidaouftas
???????;Laamamra;13.7;laamamra
?????;Tidili;13.7;tidili
??? ?????;Ait Majden;13.7;aitmajden
????? ?????;Oulad Amrane;13.6;ouledamrane
???????;Larache;13.6;larache
?????;Jaqma;13.6;jaqma
?????????;Lambarkiyne;13.6;lambarkiyne
??????;Fdalate;13.6;fdalate
??????;El Borouj;13.6;elborouj
??? ????;Ait Yadine;13.6;aityadine
???????;Jbabra;13.6;jbabra
??????;Imzouren;13.6;imzouren
??? ??????;Bni Bouayach;13.6;bnibouayach
????? ?????;Moulay Yacoub;13.6;moulayyacoub
??????;M'zizel;13.6;mzizel
???? ?????;Sidi Ishaq;13.6;sidiishaq
?????;Smimou;13.6;smimou
??? ????;Ait Baha;13.6;aitbaha
??????;Lamhadi;13.6;lamhadi
??? ?????;Ait Imour;13.6;aitimour
????? ????;Oulad Aarrad;13.6;ouledaarrad
????????;Laatamna;13.6;laatamna
?????;Ouargui;13.6;ouargui
?????;Zerkten;13.6;zerkten
??? ?????;Jbel Lahbib;13.5;jbellahbib
???? ???? ??????;Sidi Ahmed Benaissa;13.5;sidiahmedbenaissa
???? ?????;Sidi El Mekki;13.5;sidielmekki
???? ??? ???????;Sidi Ali Labrahla;13.5;sidialilabrahla
???? ????????;Kelâat Sraghna;13.5;kelaatsraghna
???????;Laqraqra;13.5;laqraqra
???????;Chtaiba;13.5;chtaiba
????? ?? ?????;Ouled Ben Hammadi;13.5;ouledbenhammadi
????;Tekna;13.5;tekna
???????;Laanoussar;13.5;laanoussar
??????;Tounfite;13.5;tounfite
??????;Amersid;13.5;amersid
?????;Barkine;13.5;barkine
??? ?????;Ahl Angad;13.5;ahlangad
??????;Freija;13.5;freija
?????;Alnif;13.5;alnif
???? ????;Jamaat Shaim;13.4;jamaatshaim
?????;Bouchane;13.4;bouchane
?????;Laghdir;13.4;laghdir
??? ???????;Oued Jdida;13.4;ouedjdida
??????? ????;Immouzzer-Kandar;13.4;immouzzerkandar
???? ?????;Sidi Harazem;13.4;sidiharazem
???;Guir;13.4;guir
??????;Tafetachte;13.4;tafetachte
???? ????? ????;Sidi M'hamed Dalil;13.4;sidimhameddalil
??????;Agadir;13.4;agadir
?????? ???????;El Koudia El Beida;13.4;elkoudiaelbeida
??? ????;Ait Igas;13.4;aitigas
???????;Lakhsas;13.4;lakhsas
???? ?????;Sidi Boubker;13.4;sidiboubker
?????? ????;Boumalne-Dades;13.4;boumalnedades
??? ????? ???????;Bni M'hamed-Sijelmassa;13.4;bnimhamedsijelmassa
???????;Saadla;13.3;saadla
??????;Sahel;13.3;sahel
??? ????????;Souk El Arbaa;13.3;soukelarbaa
?????? ????????;Mzamza Janoubia;13.3;mzamzajanoubia
???????;Bouguargouh;13.3;bouguargouh
????? ????;Oulad Fares;13.3;ouledfares
???? ????;Sidi Moussa;13.3;sidimoussa
???????;El Ganzra;13.3;elganzra
???? ??????;Sidi Mokhfi;13.3;sidimokhfi
???????;Outerbat;13.3;outerbat
??? ????;Ait Izdeg;13.3;aitizdeg
???????-?????;Ksabi-Moulouya;13.3;ksabimoulouya
??????;Bouarfa;13.3;bouarfa
??? ????;Ait Hadi;13.3;aithadi
?????;Tamri;13.3;tamri
?????;Eddir;13.3;eddir
???;Issen;13.3;issen
??????;Tilemzoun;13.3;tilemzoun
??????;Fraita;13.3;fraita
?????;Jorf;13.3;jorf
???? ??? ????;Sidi Abdellah;13.2;sidiabdellah
????? ????;Oulad Aamer;13.2;ouledaamer
??? ??;Oued Laou;13.2;ouedlaou
????;Fifi;13.2;fifi
??????;Bouchabel;13.2;bouchabel
???? ??????;Sidi El Abed;13.2;sidielabed
??????;Bouarouss;13.2;bouarouss
???? ?????? ??? ???????;Sidi Slimane Moul Al Kifane;13.2;sidislimanemoulelkifane
??? ???????;Ain Taoujdate;13.2;aintaoujdate
??????;Loulja;13.2;loulja
?????;Messassa;13.2;messassa
??? ?????;Ouad Amlil;13.2;ouadamlil
?????;Tamanar;13.2;tamanar
????? ????;Ouled Dlim;13.2;ouleddlim
????????;Jbilate;13.2;jbilate
???????;Ménara;13.2;menara
?????;Aoulouz;13.2;aoulouz
??????;N'kob;13.2;nkob
??? ??????;Ait El Farsi;13.2;aitelfarsi
????;Melaab;13.2;melaab
???? ??????;Sidi Lyamani;13.1;sidilyamani
???????;Bouznika;13.1;bouznika
???? ?? ???;Machraa Ben Abbou;13.1;machraabenabbou
??? ??????;Ait Taleb;13.1;aittaleb
???? ????????;Skhour Rhamna;13.1;skhourrhamna
??????;Chefchaouen;13.1;chefchaouen
???? ??????;Sidi Boutmim;13.1;sidiboutmim
????????;El Bsabsa;13.1;elbsabsa
?????;Selouane;13.1;selouane
??????;Charqaoua;13.1;charqaoua
?????;Er-Rich;13.1;errich
???? ?????;Sidi Borja;13.1;sidiborja
??? ???? ????;Ait Sidi Daoud;13.1;aitsididaoud
??? ???;Bouya Omar;13.1;bouyaomar
??? ?????;Ait Ouassif;13.1;aitouassif
??? ????? ????? ???????;Ait Sedrate Sahl Charkia;13.1;aitsedratesahlcharkia
??????;Allougoum;13.1;allougoum
???????;Tagounite;13.1;tagounite
?????;Tinghir;13.1;tinghir
????;Fezna;13.1;fezna
???? ??????;Sidi Ettiji;13.0;sidiettiji
???????;Esbiaat;13.0;esbiaat
????;Charrate;13.0;charrate
????? ???;Ouled Frej;13.0;ouledfrej
???????;Toualet;13.0;toualet
????????;El Aamria;13.0;elaamria
??????;Taouzint;13.0;taouzint
????;Hssaine;13.0;hssaine
??????;Bouhouda;13.0;bouhouda
????? ???? ??? ??????;Zaouiat Sidi Abdelkader;13.0;zaouiatsidiabdelkader
??????;Assebbab;13.0;assebbab
???????;Talsint;13.0;talsint
????;Igli;13.0;igli
?????;Demnate;13.0;demnate
????? ???? ???;Taghzoute N'ait Atta;13.0;taghzoutenaitatta
????;Mogress;12.9;mogress
????????;Echemmaia;12.9;echemmaia
????????;Al Haouafate;12.9;elhaouafate
???? ????;Sidi Bennour;12.9;sidibennour
??????;Jabria;12.9;jabria
????????;Sgamna;12.9;sgamna
???? ???? ??????;Sidi Ahmed El Khadir;12.9;sidiahmedelkhadir
